Location,Type,Reviews,Overall_Score,Recommendation,Strengths,Weaknesses,scenery_score,scenery_count,accessibility_score,accessibility_count,facilities_score,facilities_count,safety_score,safety_count,value_score,value_count,experience_score,experience_count,service_score,service_count
Abhayagiri Dagaba,Religious Sites,96,0.27281191806331473,3.2,"🚻 Facilities, 🎯 Experience & Activities",👨‍💼 Service & Staff,0.2598039215686274,34,0.23750000000000002,36,0.5700000000000001,10,0.24814814814814815,18,0.2666666666666667,31,0.3036231884057971,46,-0.2375,4
Ambewela Farms,Farms,136,0.3244849712934819,3.3,"🏞️ Scenery & Views, 👨‍💼 Service & Staff, 🎯 Experience & Activities",🛡️ Safety & Crowds,0.4318121693121694,84,0.273728813559322,59,0.18370370370370367,45,-0.38,5,0.2894308943089431,41,0.377710843373494,83,0.3958333333333333,12
Ariyapala Mask Museum,Museums,77,0.24872552716410848,3.1,"🏞️ Scenery & Views, 🚗 Accessibility",,0.43846153846153846,13,0.3352941176470588,17,0.26249999999999996,44,0.0,2,0.23000015711412772,48,0.20338983050847453,59,0.2261904761904762,21
Arugam Bay,Beaches,187,0.20608571643410803,3.0,,,0.2784688995215311,121,0.1602609464838567,95,0.21621102327624064,92,0.20522088353413656,83,0.15702811244979922,83,0.20617412217412218,125,0.18496240601503758,57
Baker's Falls,Waterfalls,74,0.3266280566280566,3.3,"🚻 Facilities, 💰 Value for Money, 🏞️ Scenery & Views, 🎯 Experience & Activities",,0.3581845238095238,48,0.27923976608187134,57,0.4749999999999999,18,-0.10555555555555556,9,0.42599999999999993,25,0.3006172839506173,27,0.95,1
Bentota Beach,Beaches,233,0.3437850007794606,3.4,"🎯 Experience & Activities, 🚗 Accessibility, 🚻 Facilities, 🏞️ Scenery & Views",,0.33779060445727116,216,0.3857677902621722,89,0.35579196217494086,141,0.2901515151515151,110,0.18499999999999997,30,0.41636904761904764,112,0.2770833333333333,24
Bluefield Tea Gardens,Farms,314,0.21316955684007705,3.0,🏞️ Scenery & Views,,0.34244186046511627,86,0.25305164319248824,71,0.26987951807228916,166,-0.2,15,0.14984939759036142,166,0.16355311355311355,273,0.2914772727272727,88
Brief Garden - Bevis Bawa,Gardens,292,0.2685258764272671,3.2,"🛡️ Safety & Crowds, 🏞️ Scenery & Views, 💰 Value for Money",,0.44749455337690636,153,0.15520094562647754,141,0.14456521739130435,46,0.47499999999999987,44,0.33391053391053394,132,0.18983451536643028,235,0.14541666666666667,40
Bundala National Park,National Parks,189,-0.04262055773683681,2.4,,👨‍💼 Service & Staff,-0.03904494382022472,178,-0.11938534278959813,141,0.08444444444444445,45,0.21805555555555553,60,0.09774011299435029,59,-0.1177952999381571,168,-0.22702702702702698,37
Ceylon Tea Museum,Museums,305,0.25448355680553825,3.1,"🏞️ Scenery & Views, 🚻 Facilities, 🛡️ Safety & Crowds, 💰 Value for Money",,0.4749999999999999,54,0.09249084249084248,91,0.3848101265822785,79,0.35595238095238096,28,0.3186463046757164,156,0.17815556726995843,271,0.2604838709677419,62
Colombo National Museum,Museums,302,0.1882189673622258,3.0,"🏞️ Scenery & Views, 💰 Value for Money",,0.3799645390070923,94,0.09378478664192949,77,0.16135531135531136,78,-0.04318181818181818,22,0.34700520833333337,128,0.11039466370205671,257,0.11875,56
Community Tsunami Museum,Museums,302,0.22165763324299906,3.1,"💰 Value for Money, 👨‍💼 Service & Staff",,0.1263525305410122,191,0.11277258566978192,107,-0.14615384615384613,13,0.17272727272727273,22,0.3402985074626866,134,0.29130781499202557,209,0.30645161290322576,62
Dagoba of Thuparama,Religious Sites,77,0.27018348623853217,3.2,"🚗 Accessibility, 🚻 Facilities",,0.2770833333333333,24,0.33529411764705885,17,0.31666666666666665,6,0.0,8,0.296875,16,0.28243243243243243,37,0.0,1
