helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978334906,en,315685,,"{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",11/2/2024,MOBILE,5,,[],"We had a wonderful lunch at the café at the Heritance Kandalama. The hotel grounds are beautiful, the design by Geoffrey Bawa astounding, the food options in cafe and main restaurant very good. Next time when back in the area will check into this property - looks heavenly.",Amazing Geoffrey Bawa hotel designed as ‘one with nature’,2024-11,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r978334906-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978319012,en,315685,,"{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",11/1/2024,OTHER,5,,[],Yes great place to visit clean accommodation very friendly staff Lacme was very help full the buffet was very good the put on a Halloween dinner for us it looked amazing saw lots of monkeys unfortunately didn’t get to swim in the pool as our planed excursions were full on lots to see in the area,Fabulous Halloween was a great night food fantastics,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r978319012-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978210917,en,315685,,"{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",11/1/2024,MOBILE,3,,[],"Heritance Kandalama offers an exceptional experience surrounded by nature and stunning views, making it a beautiful getaway. The staff here are incredibly friendly and helpful, which seems to be a hallmark of this place. They go above and beyond to make guests feel welcome and attended to at every moment. The location itself is breathtaking, with lush surroundings and views that seem to blend the architecture seamlessly into the natural landscape. The boat ride offered by the hotel is an absolute must-do, providing a unique perspective on the area and a peaceful escape.

The food at the Main Restaurant was another highlight. Every meal was delicious, with an impressive variety and a great balance of local and international dishes. It truly added to the luxury experience, and it’s clear the culinary team puts a lot of effort into their craft.

On the downside, there were a couple of areas that could be improved. There was a 35-minute delay in the check-in process, which was a bit frustrating after a long journey. Additionally, the TV positioning in the 317 Suite room felt awkward, making it difficult to watch from the bed comfortably.

Overall, Heritance Kandalama is a fantastic destination with a few minor setbacks, but the beautiful setting, friendly staff, excellent food, and relaxing boat ride more than make up for it.",Average,2024-11,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r978210917-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,977128181,en,315685,"{'id': '977325745', 'text': 'Dear Sameera…..Thank you so much for your heartfelt and detailed review. We are genuinely grateful for your continued loyalty as a seven-time returning guest at Heritance Kandalama. Your kind words about our dinner buffet and the exceptional experiences you’ve had with us boost the spirit of our team. We’re thrilled to hear that you find our buffet offerings to be outstanding and that they consistently exceed your expectations. Chefs Sisira and Danuka will be delighted to know that their efforts to keep the menu fresh and exciting have made a lasting impression on you. We also appreciate your recognition of Sarath, Kasun, and the entire team, whose dedication to providing impeccable service truly sets us apart. It’s wonderful to hear that Mahesha’s warm welcome and attentiveness make each of your visits feel special. Our F&B Manager, Mr. Prassana, will be pleased to learn that you value the consistency in our service, which is a testament to the hard work and leadership of our team, including Mr. Ranjith Kumarasinghe and Chef Ravi Kumar. Your kind words not only motivate us to continue providing exceptional service but also remind us of the strong connections we build with our guests. We strive to make every visit feel like a homecoming, and we’re overjoyed that you feel this way. Thank you once again for recommending Heritance Kandalama to others. We can’t wait to welcome you back for your next stay and create more unforgettable memories together. Warmest Regards, General Manager.', 'lang': 'en', 'publishedDate': '2024-10-30', 'responder': None, 'connectionToSubject': None}","{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",10/29/2024,MOBILE,5,Sunny days are perfect to visit,[],"⭐⭐⭐⭐⭐ Heritance Kandalama Review

As a seven-time returning guest at Heritance Kandalama, I must highlight their exceptional dinner buffet, which has consistently exceeded expectations on every visit.

Outstanding Dinner Buffet Experience
⭐⭐⭐⭐⭐
The dinner buffet is truly outstanding and offers incredible value for money. The spread includes:
- Exceptional variety of local and international cuisines
- Fresh, high-quality ingredients
- Live cooking stations
- Impressive selection of desserts
- Perfect balance of flavors

Value for Money
⭐⭐⭐⭐⭐
The dinner buffet pricing is extremely reasonable considering:
- The exceptional quality of food
- The extensive variety offered
- The premium dining environment
- The impeccable service

Having dined here multiple times over my visits, I can confidently say the culinary team continues to exceed expectations:

- Chef Sisira and Chef Danuka - You both have maintained the excellent standards I've come to expect from Kandalama. Your ability to keep the menu fresh and exciting while maintaining consistent quality is remarkable.

- Mr. Sarath (Restaurant Manager) - Your leadership in the restaurant has been evident across my visits. The way you remember returning guests and their preferences adds such a personal touch to the dining experience.

- Mr. Kasun(Captain) - Your attention to detail and the way you lead your team shows why the service at Kandalama stands out from other hotels I've visited.

The Warm Welcome That Keeps Me Coming Back

- Mahesha(Hostess) - Your welcoming smile and attentiveness make every return visit feel special. It's staff like you who make Kandalama feel like a second home.

- Mr. Prassana (F&B Manager) - Your oversight of the F&B operation shows in every meal and drink served. The consistency across my seven visits speaks volumes about your management.

The Team Behind the Magic

- Mr. Ranjith Kumarasinghe (Staff Training Manager) - After seven visits, I can truly appreciate how your training programs have maintained such high standards among the staff. The seamless service and genuine warmth of every team member reflects your excellent leadership.

- Chef Ravi Kumara- Your culinary expertise continues to impress me with each visit. The way you maintain quality while introducing new dishes keeps the dining experience fresh and exciting.

Overall Ratings:
- Buffet Quality: ⭐⭐⭐⭐⭐
- Value for Money: ⭐⭐⭐⭐⭐
- Service: ⭐⭐⭐⭐⭐
- Variety: ⭐⭐⭐⭐⭐
- Ambiance: ⭐⭐⭐⭐⭐

As someone who has experienced Kandalama through different seasons and occasions, I can confidently say that what makes this hotel truly special is its people. The stunning architecture and beautiful surroundings are constant, but it's the genuine warmth and professionalism of the staff that has drawn me back seven times.

To each staff member mentioned above - you've not only maintained but exceeded the high standards that made me fall in love with Kandalama on my first visit. Your recognition of returning guests and ability to maintain personal connections makes each stay feel both familiar and special.

For anyone considering a stay at Heritance Kandalama, take it from a frequent guest - you're not just booking a hotel stay, you're setting yourself up for an experience that will likely bring you back again and again, just as it has done for me.

Warmest regards,
Sameera Silva",Seven-Time Guest's 5-Star Tribute,2024-09,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r977128181-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,977013767,en,315685,"{'id': '977090832', 'text': ""Dear Thashuki…We are truly grateful for your wonderful feedback regarding your second visit to Heritance Kandalama! It warms our hearts to know that your experience met your expectations once again. We are delighted that you enjoyed the spacious deluxe king room and the relaxing jacuzzi shower. It's fantastic to hear that the Coco Spa was a highlight of your stay—your recommendation means a lot to us. Thank you for sharing your thoughts on the dining experience. While we’re glad the buffet offerings impressed you, we will certainly take your comments on vegetarian options into account for future improvements. It’s lovely to hear that you appreciated our integration of nature throughout the hotel, though we understand the wild monkeys can be quite playful! We’re glad you were able to enjoy the stunning views from your room’s balcony. We’re also pleased you had a smooth journey to Pidurangala and found our location convenient for your adventures. Your special mention of Rebecca and her exceptional service truly highlights the dedication of our staff, and we’ll ensure she receives the recognition she deserves. Thank you for choosing to stay with us again, and we look forward to welcoming you and your family back for another memorable visit. Warm Regards, General Manager.\n\n"", 'lang': 'en', 'publishedDate': '2024-10-29', 'responder': None, 'connectionToSubject': None}","{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",10/28/2024,MOBILE,5,Try the sunrise from the Pidurangala rock. Hotel will arrange the transport on request. Absolutely stunning views from the top of the rock.,[],"This was my second stay at Heritance Kandalama, and once again, it did not disappoint. We booked a deluxe king room this time, which was exactly as depicted on the website - spacious, cozy, and complete with a jacuzzi shower that made for a relaxing experience.

The highlight of our stay was definitely the Coco Spa, which was absolutely amazing and well worth every rupee; I highly recommend it! Since we checked in on a weekday, the hotel wasn’t at full occupancy, so our first lunch was served from a limited set menu. While the vegetarian options were somewhat restricted and could have been tastier, all the subsequent meals were served buffet-style with a fantastic variety and I’d give the spread a 9/10.

One of the things I love most about this hotel is how it harmoniously integrates nature into every corner, creating a perfect escape for relaxation. Although our room had a stunning balcony view of the river, we couldn’t enjoy it due to the wild monkeys.

For those looking to explore, Pidurangala is just a 30-minute drive away. We left at 4 AM, and the roads were clear, with no wildlife encounters. This location is ideal if you're planning to do the hot air balloon ride, hike Pidurangala, or visit Sigiriya.

Lastly, the staff were incredibly friendly, with special thanks to Rebecca at the front desk for her exceptional assistance throughout our stay. Overall, it was a wonderful experience, and I look forward to returning with my family.",Second visit to the Heritance Kandalama!,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r977013767-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976781204,en,315685,"{'id': '976912231', 'text': 'Dear Valued Guest…..Your kind words warm our hearts, and we’re truly grateful for your appreciation of every aspect of your stay. Our hospitality is indeed an ongoing dedication to excellence, where we strive to offer each guest comfort and personal attention as if they were our own family. We’re delighted to know that our carefully crafted meals brought you joy, ensuring both quality and flavor in every bite. The natural beauty surrounding us is indeed magical, and we’re so glad you felt the charm of our unique location. From the bottom of our hearts, thank you for your wonderful affirmation of our hospitality and service, and for recommending Heritance Kandalama. It was a pleasure to host you, and we eagerly await your next visit, ready to create even more cherished memories together. Warm Regards, General Manager.\n\n', 'lang': 'en', 'publishedDate': '2024-10-28', 'responder': None, 'connectionToSubject': None}","{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",10/26/2024,MOBILE,5,,[],"It was a wonderful experience The staff are very professional.Thank you very much for your hospitality.The food was very delicious.overall atmosphere of heritance unique.highly recommend, everything exceeded our expectations.Thank you!",Unique experience ,2024-10,SOLO,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r976781204-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976732389,en,315685,"{'id': '976785116', 'text': ""Dear Irosha……. We’re overjoyed to hear you had such a memorable stay at Heritance Kandalama. It’s heartily satisfying to our team, that you found our service exceptional and appreciated the warmth extended to you, especially from Rebeka—she truly reflects our commitment to guest satisfaction and the hospitality we have maintained all these years. We're glad you enjoyed the delicious meals, the relaxing atmosphere of our three stunning pools, and the enchanting live music at night. The boat ride sounds like a highlight, especially with the chance to see various birds. We're delighted that your luxury twin room met your expectations with its comfort and breathtaking views. Thank you for your heartfelt review, and we eagerly await the opportunity to host you again. Warm Regards, General Manager"", 'lang': 'en', 'publishedDate': '2024-10-27', 'responder': None, 'connectionToSubject': None}","{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",10/26/2024,MOBILE,5,"For the best bird-watching experience, head out in the early morning.",[],"I had a wonderful stay at Heritance Kandalama in October 2024. The service was exceptional, with friendly staff, especially Ms. Rebeka, who made our experience even more enjoyable. The food was delicious, and I loved the three beautiful swimming pools available. We also enjoyed live music at night, which added to the atmosphere.

A highlight of our trip was the boat ride, where we had the chance to watch various birds. Our luxury twin room was excellent, offering comfort and stunning views. Thank you, Heritance Kandalama, for an unforgettable experience!

","An unforgettable stay at Heritance Kandalama! Exceptional service, delicious food, and stunning views made our October visit tru",2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r976732389-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976524107,en,315685,"{'id': '976558470', 'text': ""Dear Valued Guest…..Thank you for your fantastic review. We're absolutely delighted to hear that you found our hotel to be a beautiful escape and felt special from the moment you arrived. It’s heartening to know that our team, from the reception to the pool staff, made your stay memorable. We're thrilled you appreciated the unique design of our hotel, blending seamlessly with the jungle, and that you enjoyed the luxurious simplicity of your bedroom. Your description of the surroundings, including the playful, black-faced monkeys, truly captures the magic of the experience we aim to provide. It’s great to hear that you enjoyed the excellent buffet offerings and the variety available for families. We also appreciate your constructive feedback regarding the bar area. Your suggestions for revamping it are wonderful and will serve as an excellent launchpad for discussions with our project management team for future updates. It will exciting to enhancing the atmosphere, as we aim to create a gathering space that invites relaxation and connection. Your words of praise have lifted our spirits, and we’re honored to know you plan to return for a longer stay. We can’t wait to host you again, ensuring your next visit is filled with even more adventure and exploration. Warm Regards, General Manager"", 'lang': 'en', 'publishedDate': '2024-10-25', 'responder': None, 'connectionToSubject': None}","{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",10/24/2024,OTHER,5,,"[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","This place is a cracker of a hotel. From the moment you arrive and are greeted at reception, from the bar and restaurant staff, to those looking after our rooms and the guys working at the three pools, you are made to feel very special. All staff are very helpful and attentive and work hard to make sure everything is perfect. 

The bedrooms are simple but luxurious with everything that you could need. 

The building itself is like something from a James Bond movie, a complex hidden in the jungle with black faced monkeys swinging by the windows, and onto the balconies. The jungle and hotel are fused together, with much of the hotel, including one of the swimming pools, carved into the rock itself.  It is rather magical. 

We spent three days here and we hardly explored the hotel and grounds as we were off on safari and walking up Sigiria but there’s lots to do in and around the hotel. There’s a games lounge with chess boards and other board games if you want a little quiet time and there’s a decent gym if you want to stretch out your muscles after the long drives. 

The food in the buffet restaurant was excellent, we didn’t try the al a carte restaurant so can’t comment, but I’m sure it’d be great. If travelling with kids there’s plenty of choice so they can be brave, knowing they can always go back to their trusted favourites if getting a little tired and emotional. 

My only real criticism of the hotel is the bar area. The staff were fantastic, they couldn’t be better or more professional, but the bar area itself is a little soulless, it is large and somewhat cavernous which doesn’t make it somewhere where you want to linger and sip a cold beer. A really good pianist did his best to lift the area but it was a struggle for him. Some simple changes, some soft furnishings, and orientating the bar towards the views would have a huge impact and the bar could become a real hub for the hotel, where people could gather, relax and talk. 

But please don’t let my criticism of the bar put you off, this is a first class hotel, and I’d happily return for a much longer stay. And I will. 

M45, F46, S12, D8.",A beautiful James Bond villain’s lair in the middle of the jungle,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r976524107-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976521790,en,315685,"{'id': '976557047', 'text': 'Dear Dimuthu…….What a joy to read your feedback. We’re thrilled that you experienced great service from our restaurant and housekeeping teams. It’s truly encouraging that the Front Office team was available to attend to your needs, especially from Rebecca. It means a lot to us that you felt our hospitality was up to par, and we’re glad to hear you enjoyed the food as well. Thank you for choosing Heritance Kandalama to cap off your holiday. We take pride in maintaining the high standards of the Heritance brand, and your kind words motivate us to keep delivering exceptional experiences. We can’t wait to welcome you back for another memorable stay. Warm Regards, General Manager.\n\n', 'lang': 'en', 'publishedDate': '2024-10-25', 'responder': None, 'connectionToSubject': None}","{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",10/24/2024,MOBILE,5,,[],Great service at the restaurants and also the FO and HK staff. Rebecca at the FO was great. Thanks for all the hospitality and the great food. Was a refreshing end to my holiday. Kandalama definitely keeps up to the standards of the other heritance resorts,Great service,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r976521790-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974926332,en,315685,"{'id': '975024568', 'text': 'Dear Ranil,\n\nThank you for taking the time to share your feedback regarding your recent stay. We sincerely apologize for the challenges you faced during your visit. Your experience with the check-in process and the handling of your luggage is certainly not the level of service we strive to provide. We understand how frustrating it must have been to deal with the long queues at dinner and the miscommunication regarding your son’s cake. It’s clear that we fell short in meeting your expectations, and for that, we are truly sorry. Your comments are invaluable to us, and we will be addressing these issues with our team to ensure improvements are made. We appreciate your feedback and hope you will consider giving us another chance to provide you with the exceptional experience that so many of our guests enjoy.\n\nThank you for your understanding.\n\nBest regards,\nGeneral Manager', 'lang': 'en', 'publishedDate': '2024-10-23', 'responder': None, 'connectionToSubject': None}","{'id': '315685', 'name': 'Heritance Kandalama', 'rating': 4.5, 'numberOfReviews': 5615, 'locationString': 'Dambulla, Central Province', 'latitude': 7.871171, 'longitude': 80.70803, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304133-d315685-Reviews-Heritance_Kandalama-Dambulla_Central_Province.html', 'website': 'https://www.heritancehotels.com/kandalama/', 'address': 'Heritance Kandalama 11 Kandalama Lake Front, Dambulla 21106 Sri Lanka', 'addressObj': {'street1': 'Heritance Kandalama 11', 'street2': 'Kandalama Lake Front', 'city': 'Dambulla', 'state': None, 'country': 'Sri Lanka', 'postalcode': '21106'}, 'ratingHistogram': {'count1': 109, 'count2': 139, 'count3': 451, 'count4': 1207, 'count5': 3709}}",10/22/2024,OTHER,1,,"[{'name': 'Value', 'value': 1}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 1}, {'name': 'Sleep Quality', 'value': 5}]","This is not a place to relax. Ever since I came here, the problem has continued at the reception.

45 minutes after checking in the room, when we checked the bags, they remembered that the bags were not there.

Then they ask what color and shape our bags are and how many there are. When we hear that, we feel doubt about the valuable items in our bags

After that, when we went on a dinner at restaurant the capacity of the restaurant was too high and there was a long queue out side restaurant. all they are waiting for dinner. Just like a church queue.

There is only a mismanagement of the hotel, they cannot manage the amount of guests that come for dinner . They could have increased the restaurant area or allocated time for those groups. They have no desire or concern to do any of that.

They have no desire or concern to do any of that.

We had arranged to bring a cake to surprise my son at dinner time
We told that to the hotel, so they prepared to bring it at dinner time

But they forgot that too. They finally told us after the sons left at restaurant.

I came here to relax, but I haven't found a place to relax since I came here. These are the problems.
Totally unsatisfied  stay at Heritance Kandalama hotel",Bad Experience,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304133-d315685-r974926332-Heritance_Kandalama-Dambulla_Central_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
