helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978321372,en,579245,,"{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",11/1/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","A really amazing Hotel with high-level services and welcome stuff. 
Special thanks to the Chef and the kitchen!",Hikka Tranz by Cinnamon is the Hotel you are definitely to stick to year by year,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r978321372-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978111920,en,579245,"{'id': '978610668', 'text': 'Dear Asiri,\n\nThank you for taking the time to share your positive feedback about your recent stay at Hikka Tranz by Cinnamon. We are thrilled to hear that you had a fantastic experience and appreciated the location, spacious rooms, friendly staff, dining options, and lovely pool area.\n\nWe hope to have the opportunity to welcome you back to Hikka Tranz by Cinnamon in the future.\n\nSincerely,\n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-11-03', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/31/2024,MOBILE,5,If you need good beach and delicious food must go to hotel hikka trans .,[],"I recently stayed at Hikka Tranz Hotel, and it was a fantastic experience. The beachfront location is breathtaking, offering stunning views of the ocean and easy access to the beach. The rooms are spacious, well-decorated, and equipped with modern amenities, ensuring a comfortable stay.

The staff were incredibly friendly and attentive, always willing to help with a smile. The dining options were diverse, with delicious meals that showcased local flavors. The hotel also features a lovely pool area, perfect for relaxing after a day of exploring.",Superb hotel experience,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r978111920-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,977711784,en,579245,"{'id': '978610390', 'text': 'Dear Guest,\n\nThank you for taking the time to share your positive feedback about your recent stay at Hikka Tranz by Cinnamon. We are delighted to hear that you enjoyed your holiday with your girlfriend and that you appreciated the excellent service provided by our pool bar staff.\n\nWe are particularly pleased to know that bartender Viraj made special cocktails for you and that he, along with Janaka, Nilantha, and Samitha, looked after you very well. We will be sure to recognize their outstanding service.\n\nWe hope to have the opportunity to welcome you back to Hikka Tranz by Cinnamon in the future.\n\nSincerely,\n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-11-03', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/30/2024,OTHER,5,,[],We came to hikka trsnz for holidsy with my girl friend. Evrydsy we came to pool srea. Pool bar staff looked after us verry well. Specially bsrtender viraj make special cocktaiil us and he csre us very well   pool bar team viraj. Janaka. Nilanka. Ssmitha also looked us well. We come back to this hotel becouse of them,Pool bar best service,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r977711784-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976580757,en,579245,"{'id': '977110096', 'text': 'Dear Guest,\n\nWe are absolutely thrilled to hear that your wedding with us at Hikka Tranz by Cinnamon was an absolute success! Your kind words about Thilini and our banquets team are truly heartwarming.\n\nWe are committed to providing exceptional service to our guests, and we are so proud of Thilini and our team for going above and beyond to make your special day unforgettable.\n\nWe wish you both a lifetime of happiness and hope to have the opportunity to welcome you back to Hikka Tranz by Cinnamon in the future.\n\nSincerely,\n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-10-29', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/25/2024,OTHER,5,,[],"We recently had our wedding, and we couldn’t be happier with how everything turned out. Thilini, our event coordinator, went above and beyond to make our day truly unforgettable. Her attention to detail, dedication, and seamless organisation made everything flow perfectly. From the smallest details to the big moments, everything was exactly as we’d hoped – if not better!

We’re so grateful for all the hard work Thilini put into making our wedding perfect. She was truly amazing, and we couldn’t have done it without her! If you’re looking for someone who’ll make your big day stress-free and magical, we highly recommend Thilini and her team.

Thank you again for everything!",Absolutely Perfect Wedding Thanks to Thilini and the Team!,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r976580757-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976485624,en,579245,"{'id': '977109760', 'text': 'Dear Sianna,\n\nThank you for taking the time to share your review of your stay at Hikka Tranz by Cinnamon. We appreciate your feedback, both positive and negative.\n\nWe are delighted to hear that you enjoyed your stay overall and appreciated the beautiful grounds, spacious rooms, and delicious food. We are especially pleased to know that Dinesh provided excellent service and made you feel welcome.\n\nWe apologize for the negative experience you had with a few members of our staff. We take guest feedback very seriously and will use this information to improve our training and ensure that all our guests receive a warm and welcoming experience.\n\nWe understand your concern regarding the large groups. All our guests are of utmost value to us, and we wish to provide everyone with a safe and comfortable stay with us. We will take all necessary measures to try and to minimize any disruption caused to our patrons.\n\nWe hope that despite these minor issues, you were able to enjoy your time in Sri Lanka and at our hotel. We hope to have the opportunity to welcome you back in the future and provide you with an even better experience.\n\nSincerely, \xa0 \n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-10-29', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/24/2024,MOBILE,4,,[],"Visited in August. 

We booked Hikkatranz as a base and also went travelling around Sri Lanka. 

Firstly, Sri Lanka is a beautiful place. 

First impressions of a few members of staff (a main lady) on the entrance of the restaurant were not great. She was not too welcoming, very dismissive and rude. 

However, as we settled into our trip we enjoyed ourselves. The food was tasty and never repetitive. There was everything from authentic Sri Lanka food, to Russian, English, Asian etc cuisine.  

The grounds are beautiful and well maintained and the rooms are large. Special mention to Dinash, he was our room cleaner. He went the extra mile daily and made us feel welcome during our stay with his daily conversations and smiley face. 

One thing that marred our experience a tiny bit were the big organised groups of men that would embark upon the hotel and fully take over the place, getting drunk, loud and lairy. 

Also, the turtles that swam to the shore line of the beach added to the magic of this holiday. 

All in all, good and I’d highly recommend this hotel.",Dinash was a superstar,2024-08,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r976485624-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976465952,en,579245,"{'id': '977108588', 'text': 'Dear Lodzy,\n\nThank you for taking the time to share your positive feedback about your recent stay at Hikka Tranz by Cinnamon. We are delighted to hear that you enjoyed your stay and appreciated the clean and friendly environment.\n\nWe are also pleased that you enjoyed the delicious food. We hope to have the opportunity to welcome you back to Hikka Tranz by Cinnamon in the future.\n\nSincerely,\n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-10-29', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/24/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Wonderful hotel, close to the beach. Clean everywhere and super friendly staff.Great food too. Thoroughly recommend. ",Great stay,2024-10,NONE,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r976465952-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976435365,en,579245,"{'id': '977108441', 'text': 'Dear Guest,\n\nThank you for taking the time to share your positive feedback about your recent stay at Hikka Tranz by Cinnamon. We are delighted to hear that you enjoyed your stay and appreciated the beautiful location, well-maintained facilities, and friendly staff.\n\nWe are particularly pleased that you enjoyed the unique style and design of our hotel and that you found our refurbishment efforts to be successful. We are also thrilled that you enjoyed the delicious seafood platter.\n\nWe hope to have the opportunity to welcome you back to Hikka Tranz by Cinnamon in the future.\n\nSincerely,\n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-10-29', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/24/2024,OTHER,4,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Hikka Tranz has one of the best corners of the Hikkaduwa beach, which means it has a great view from every room in the hotel, a great view from the restaurant, and a great view from the poolside. The hotel is an old and well known hotel and Cinnamon have done a great job refurbishing the hotel. It meets today's standards but still maintains the unique style and design of hotels past.I also highly recommend the seafood platter when it is offered fresh on the day. And every member of staff were friendly and helpful.",Hikka Tranz is a great experience!,2024-10,NONE,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r976435365-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974877435,en,579245,"{'id': '977059304', 'text': 'Dear Guest,\n\nThank you for taking the time to share your positive feedback about your recent stay at Hikka Tranz by Cinnamon. We are delighted to hear that you enjoyed your experience and appreciated our spacious suite and the service provided by our staff.\n\nWe are also pleased that you enjoyed the wide variety of delicious international cuisine offered at our restaurants.\n\nWe hope to have the opportunity to welcome you back to Hikka Tranz by Cinnamon in the future.\n\nSincerely,\n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-10-28', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/21/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","We had a large,air conditioned  suite, that was serviced daily by a pleasant young man, The meals provided a wide choice of lovely mixed national food.",A  Beautiful Experience,2024-10,NONE,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r974877435-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974685629,en,579245,"{'id': '976982983', 'text': 'Dear Nick and Paul,\n\nThank you for taking the time to share your positive feedback about your recent stay at Hikka Tranz by Cinnamon. We are delighted to hear that you enjoyed your 4 nights with us and appreciated our great selection of food, clean rooms with sea views, and perfect beachfront location.\n\nWe apologize for any inconvenience caused by the local vendors outside of the property. We understand that this can be a frustrating experience.\n\nWe are thrilled that you enjoyed the Crab Shack and would definitely recommend it to others. We hope that you had a wonderful time exploring the area and discovering all that Hikkaduwa has to offer.\n\nWe hope to have the opportunity to welcome you back to Hikka Tranz by Cinnamon in the future and provide you with another exceptional experience.\n\nSincerely,\n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-10-28', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/20/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Lovely hotel with a great selection of food. Rooms were very clean and all enjoying sea views. Perfect beachside location for seeing turtles although be prepared for locals pestering you to buy seaweed to feed the turtles. A firm but polite no thank you and keep walking does the trick. Dont get sucked into the line ""Where are you from"" as soon as you enter a convo you'll be hounded. We were told by one local it was his birthday and wanted us to buy him a beer (at 9.30am) he stood at the exit of the resort to the beach the whole day shouting and waving trying to get our attention, so be warned.  Anybody visiting must try the Crab Shack as the food and service is absolutely fantastic!! We went out of season so nothing much happening but theres so much to see, there's plenty to fill your day. Would definitely stay again if ever back in Hikkaduwa.",Lovely 4 nights spent here,2024-09,NONE,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r974685629-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974509621,en,579245,"{'id': '976973099', 'text': 'Dear Guest,\n\nThank you for taking the time to share your positive feedback about your recent stay at Hikka Tranz by Cinnamon. We are delighted to hear that you had a very pleasant experience and appreciated the warm welcome, spectacular views, and facilities.\n\nWe are also pleased to know that you enjoyed the delicious food, especially the breakfast, and the relaxing ambiance of the restaurant. We are grateful for your kind words about our staff, especially Renuka, Amarakeerthi, Yomal, and Pradeep from the gym.\n\nWe hope to have the opportunity to welcome you back to Hikka Tranz by Cinnamon in the future.\n\nSincerely,\n\nIndika Dissanayake\nResort Manager', 'lang': 'en', 'publishedDate': '2024-10-28', 'responder': 'Guest Service Manager', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '579245', 'name': 'Hikka Tranz by Cinnamon', 'rating': 4.5, 'numberOfReviews': 3665, 'locationString': 'Hikkaduwa, Galle District, Southern Province', 'latitude': 6.132134, 'longitude': 80.10093, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304134-d579245-Reviews-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html', 'website': 'http://www.cinnamonhotels.com/hikkatranzbycinnamon/', 'address': '360 Galle Road, Hikkaduwa 80240 Sri Lanka', 'addressObj': {'street1': '360 Galle Road', 'street2': '', 'city': 'Hikkaduwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80240'}, 'ratingHistogram': {'count1': 143, 'count2': 133, 'count3': 308, 'count4': 962, 'count5': 2119}}",10/19/2024,MOBILE,5,,[],"was a very pleasant experience. The hotel ambience was very nice. We were pleasantly surprised from the get go as we were given an upgraded room for no additional charge. The view from the balcony was spectacular and the beach was lovely too. The TV had a good selection of channels and the gym was very decent for fitness enthusiasts. The staff was very pleasant and friendly and the overall vibe was very upbeat and great. My little one was given a toy turtle much to her delight. The food was very good, especially the breakfast which we enjoyed a great deal. The lunch room also has a section that is very close to the sea. I thoroughly recommend having a meal or two there as you have the sound of the ocean and fresh sea breeze as you have your meal...very relaxing indeed. A special shout out to Ms. Renuka, Mr. Amarakeerthi and Mr. Yomal from the restaurant and many other staff including the gentleman at the gym who made us feel extremely welcome!",Must visit hotel ,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304134-d579245-r974509621-Hikka_Tranz_by_Cinnamon-Hikkaduwa_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
