helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url
0,978386515,en,10154736,,"{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",11/2/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]",A great place to unwind after a 20 hours travelling. The staff are very attentive and the Ocean View rooms offer spectacular views of the beach and the sea beyond. The facilities are top class and the food. It's not a cheap holiday destination but certainly worth the expense.,Enjoyable stay,2024-11,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r978386515-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,978331649,en,10154736,,"{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",11/1/2024,OTHER,5,,"[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Such a lovely resort with such great hospitality. 
Super comfortable rooms with great ocean views. 
Special mention Yeshan and Thisara for their fabulous service at the poolside 
Easy access to the beach. Though not the best for swimming. 
Loved the food in the Italian restaurant and the the breakfast.",A trip with only 1 agenda: Relaxation,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r978331649-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,978202913,en,10154736,"{'id': '978214911', 'text': 'Dear DayTrip53779387366,\n\nWe’re thrilled to hear that Anantara Kalutara provided the perfect setting for both business and relaxation during your stay. It’s fantastic that our resort and facilities could meet your needs seamlessly, creating a truly versatile experience. A special thank for recognizing  Randima Nanyakkara for his assistance. \n\nWe look forward to welcoming you back for another memorable visit, whether for work, leisure, or both!\n\nWarm Regards, \nKeith Tomkies – Cluster General Manager \nAnantara Kalutara Resort ', 'lang': 'en', 'publishedDate': '2024-11-01', 'responder': 'Keith T', 'connectionToSubject': 'General Manager'}","{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",10/31/2024,MOBILE,5,,[],A fantastic hotel for both hosting a business event and also for personal pleasure. I combined both over a 10 day stay. Staff are top class and the resort and facilities are amazing. Special thanks to Randima Nanyakkara who made everything we required happen with ease and efficiency. I cannot recommend the Anantara Kalutara more highly.,Business and Pleasure,2024-10,BUSINESS,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r978202913-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,978202496,en,10154736,"{'id': '978214500', 'text': 'Dear Nicola S,\n\nThank you for taking the time to share your wonderful experience with us at Anantara Kalutara Resort. \n\n The transition from a villa to an ocean-view suite sounds like it added a special touch, letting you enjoy the sound and beauty of the sea right from your room.\n\nIt’s wonderful to know you enjoyed the trips to Galle, the tea plantation, Bawa brothers’ gardens, and the safaris. We’re delighted that Eranga, Sanga, and Yeshan went above and beyond to make your stay exceptional.\n\nWe’re delighted you enjoyed your stay and look forward to welcoming you back for more memorable moments at Anantara Kalutara! \n\n \n\nWarm Regards, \n\nKeith Tomkies – Cluster General Manager \n\nAnantara Kalutara Resort ', 'lang': 'en', 'publishedDate': '2024-11-01', 'responder': 'Keith T', 'connectionToSubject': 'General Manager'}","{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",10/31/2024,MOBILE,5,We felt a bit sold to by local tuktuk drivers on the beech.,[],"Fantastic 10 day stay; this is a beautiful hotel with exceptional staff. We stayed in a Villa initially, but then asked for an ocean view suite, which was perfect to see and hear the sea and beach from the top floor. We took trips to Galle, a tea plantation, the Bawa brothers houses and gardens, a water safari and Jeep safari, all arranged by the hotel. All amazing. 

Staff who really went above & beyond: Eranga, Sanga and Yeshan. Thank you.",Exceptional,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r978202496-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,978198619,en,10154736,"{'id': '978214140', 'text': 'Dear yoshanp2022,\n\nWe’re delighted that Anantara Kalutara’s natural beauty and tranquil setting provided the ideal atmosphere for your getaway.  We genuinely appreciate your valuable feedback, as it serves as a constant motivator for us to continue delivering top-notch service.  \n\nThank you for choosing Anantara Kalutara Resort. \n\nWe eagerly await the chance to welcome you back for another memorable experience. \n\nWarm Regards, \n\nKeith Tomkies – Cluster General Manager \n\nAnantara Kalutara Resort ', 'lang': 'en', 'publishedDate': '2024-11-01', 'responder': 'Keith T', 'connectionToSubject': 'General Manager'}","{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",10/31/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Anantara Kaluthara Resort is a true gem, offering a stunning blend of natural beauty and luxurious comfort. The resort's idyllic setting, with its lush greenery and serene lagoon, creates a tranquil atmosphere that is perfect for relaxation and rejuvenation.
The hotel staff, particularly Ms. Diani Thilakarathne, went above and beyond to ensure our stay was exceptional. Her informative tour and warm hospitality made us feel truly welcome. Despite the multiple corporate events, she dedicated extra time and effort to make our holiday memorable. It's clear that Anantara is fortunate to have such dedicated and passionate employees.
We also want to commend Mr. Nuwan Tharanga for his outstanding service. He promptly addressed a payment issue related to our online booking, providing excellent guidance and support throughout the process.
While the resort itself is magnificent, it's the exceptional service that truly sets Anantara Kaluthara apart. We highly recommend this resort to anyone seeking a luxurious and unforgettable getaway.
[5 out of 5 stars]",Anantara Kaluthara Resort: A Serene Oasis with Exceptional Service,2024-10,NONE,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r978198619-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,978135089,en,10154736,"{'id': '978199326', 'text': 'Dear Sightsee60551787490,\n\nThank you for taking the time to share your wonderful experience with us at Anantara Kalutara Resort. \n\nWe’re delighted to hear that your stay was excellent and that Nadun made such a positive impact with his attentive service It’s also fantastic to know you enjoyed the authentic Sri Lankan cuisine. \n\nWe’re delighted you enjoyed your stay and look forward to welcoming you back for more memorable moments at Anantara Kalutara! \n\n \n\nWarm Regards, \nKeith Tomkies – Cluster General Manager \nAnantara Kalutara Resort ', 'lang': 'en', 'publishedDate': '2024-10-31', 'responder': 'Keith T', 'connectionToSubject': 'General Manager'}","{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",10/31/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Our trip was excellent — specifically the great staff (I remember his name was Nadun) stood out. The were very helpful and I'm looking forward to come back.

The food was incredible too. We had authentic Sri Lankan Thali which was one of the best Indian/Sri Lankan food experiences of my life.

I can highly recommend the Ressort!",Great service!,2024-10,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r978135089-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,978107828,en,10154736,"{'id': '978199232', 'text': 'Dear julianw219,\n\nThank you for taking the time to share your wonderful experience with us at Anantara Kalutara Resort. \n\nWe’re thrilled that Anantara Kalutara felt like “heaven on earth” and that you enjoyed the serene, nature-inspired beauty of our resort. It’s wonderful to hear that our team, especially Krish, helped make your stay extra special with attentive service and genuine care.\n\nWe’re delighted you enjoyed your stay and look forward to welcoming you back for more memorable moments at Anantara Kalutara! \n\n \n\nWarm Regards, \nKeith Tomkies – Cluster General Manager \nAnantara Kalutara Resort ', 'lang': 'en', 'publishedDate': '2024-10-31', 'responder': 'Keith T', 'connectionToSubject': 'General Manager'}","{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",10/31/2024,OTHER,5,,"[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Anuntara Kalutara is heaven on earth. The resort is beautiful and completely at one with nature.

The staff could not have been more helpful and attentive, and a special thank you to Krish (host) for whom nothing was too much trouble.

The food was delicious - there are 3 restaurants: Olu (buffet), Aqualina (Italian) and Spice Traders (Asian fusion). Be warned, Aqualina and Spice Traders are open alternate days (at least when we were there), so plan on advance if you want to go.

We will definitely be returning to Anuntara Kalutara.",Heaven on Earth,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r978107828-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,977524301,en,10154736,"{'id': '978084202', 'text': 'Dear Storyteller795908,\n\nThank you for taking the time to share your wonderful experience with us at Anantara Kalutara Resort and for taking the time to recognize Chathuka’s exceptional service. \n \nWe’re thrilled to hear how their warmth, professionalism, and keen attention to detail made your stay so memorable.\n\nWe’re delighted you enjoyed your stay and look forward to welcoming you back for more memorable moments at Anantara Kalutara! \n\nWarm Regards, \nKeith Tomkies – Cluster General Manager \nAnantara Kalutara Resort ', 'lang': 'en', 'publishedDate': '2024-10-30', 'responder': 'Keith T', 'connectionToSubject': 'General Manager'}","{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",10/30/2024,OTHER,5,,"[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","wanted to take a moment to express my heartfelt gratitude for everything you did to make my stay exceptional. Saying ‘thank you’ doesn’t seem enough for the level of care and dedication you brought to every detail. Your professionalism, warmth, and ability to anticipate my needs made me feel truly valued as a guest. You are, without a doubt, a priceless asset, and anyone would be fortunate to be in your care.

From start to finish, you went above and beyond to ensure that I was comfortable and well taken care of, turning what could have been an ordinary stay into something extraordinary. It’s a pleasure to see someone so passionate and committed in their work, and I know you are destined for great things in your career.

I look forward to reconnecting in the future, and I am already hoping for the chance to return and experience your excellent service once more. Thank you for everything, Chathuka, and until next time!”",xceptional Service Beyond Expectations – A Heartfelt Thank You to Chathuka,2024-10,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r977524301-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,977061978,en,10154736,"{'id': '977192831', 'text': 'Dear chalini19,\n\nThank you for taking the time to share your wonderful experience with us at Anantara Kalutara Resort. \n\nWe are thrilled to have been part of your anniversary celebration and delighted that you enjoyed the complimentary upgrade to our luxury suite. It’s heartwarming to hear that our staff made you feel truly welcome with their friendly and attentive service. We strive to provide a delicious variety of dishes, so we’re glad you found the food to your liking.\n\nWe’re delighted you enjoyed your stay and look forward to welcoming you back for more memorable moments at Anantara Kalutara! \n\n \n\nWarm Regards, \nKeith Tomkies – Cluster General Manager \nAnantara Kalutara Resort', 'lang': 'en', 'publishedDate': '2024-10-29', 'responder': 'Keith T', 'connectionToSubject': 'General Manager'}","{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",10/28/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 4}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","We chose Anantara Hotel for our anniversary getaway, and to our delight, we received a complimentary upgrade to the luxury suite! The staff were incredibly friendly and attentive, making us feel truly welcome. The food was delicious, offering a fantastic variety of dishes. Plus, the hotel was spotless and had a lovely atmosphere that made our special celebration even more memorable.",Anniversary Getaway,2024-10,NONE,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r977061978-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
0,976934853,en,10154736,"{'id': '977192651', 'text': 'Dear 193fauzanm,\n\nThank you for taking the time to share your wonderful experience with us at Anantara Kalutara Resort. \n\nIt’s fantastic to know that Heshan provided you with exceptional service and that you appreciated the room and the warm welcome, as well as amenity and dining options. \n\nWe’re delighted you enjoyed your stay and look forward to welcoming you back for more memorable moments at Anantara Kalutara! \n\n \n\nWarm Regards,\nKeith Tomkies – Cluster General Manager \nAnantara Kalutara Resort ', 'lang': 'en', 'publishedDate': '2024-10-29', 'responder': 'Keith T', 'connectionToSubject': 'General Manager'}","{'id': '10154736', 'name': 'Anantara Kalutara Resort', 'rating': 5, 'numberOfReviews': 2187, 'locationString': 'Kalutara, Western Province', 'latitude': 6.566024, 'longitude': 79.962555, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304136-d10154736-Reviews-Anantara_Kalutara_Resort-Kalutara_Western_Province.html', 'website': 'http://kalutara.anantara.com', 'address': ""St. Sebastian's Road, Kalutara 12000 Sri Lanka"", 'addressObj': {'street1': ""St. Sebastian's Road"", 'street2': None, 'city': 'Kalutara', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12000'}, 'ratingHistogram': {'count1': 17, 'count2': 16, 'count3': 52, 'count4': 223, 'count5': 1879}}",10/28/2024,OTHER,5,,[],"The stay was absolutely amazing and Heshan who was taking care of us during our lunch time was great and we loved his service 😁

The room and the welcome was great too which we really appreciated me and my wife.

Pool was amazing the food was great. Hopefully will be back again",10-Oct,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304136-d10154736-r976934853-Anantara_Kalutara_Resort-Kalutara_Western_Province.html
