helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url
0,965103135,en,25367549,"{'id': '965934616', 'text': 'Dear Guest,\n\nWe appreciate the time you have taken to write a review on trip advisor and we take this opportunity to thank you once again for choosing the Grand Serendib - Kandy for your holiday.\n\nThank you for your positive feedback and we are delighted that you had a memorable time.\nWe hope to have the pleasure of welcoming you back to Grand Serendib – Kandy.\nThank you,\nManagement Team - Grand Serendib Kandy', 'lang': 'en', 'publishedDate': '2024-08-21', 'responder': None, 'connectionToSubject': None}","{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",8/16/2024,MOBILE,5,Be patient and the pool will free up. It's only small but people don't spend all day there. ,[],"The view is the absolute best thing about this hotel. The view and the food. And excellent service.
The view, the food and the excellent service... and the rooftop bar.
And the infinity pool.
OK so this hotel has a lot going for it.

We'd booked in advance and paid a little extra for a (what we interpreted as) better room. We were a little disappointed to discover our family room was on the sub-level. Once we spoke to the reception they understood and installed us into a top floor room with amazing views over Kandy.
The food is great here. Chef will come out and say hello during dinner service. Breakfast is also excellent and swift.
Make sure you get a chance to enjoy the pool. Being on the edge of the world and looking into the busy green city is not to be missed. The pool is small and cute and only a few loungers so you need to be friendly with your fellow guests.
Also make sure to enjoy the evening sunset views from the rooftop bar. The music is good, the barmen are good, the vibe is good. It's just a good time!

Highly recommend this hotel for families and saw many couples enjoying it too.

Make sure you tip the bellboy. He's a good dude.

The rooms have international plugs, AC, minibar, hairdryers etc... the bathrooms have toiletries and everything you need.
Definitely get a tuktuk or taxi as its up a big hill. ",Luxury with an amazing view,2024-08,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r965103135-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
0,978320142,en,25367549,,"{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",11/1/2024,OTHER,5,,"[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 4}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","This hotel is a must stay if you are planning on overnighting in Kandy. 
One can oversee the entire valley from here.
Especially the traditional curries served for breakfast are really good and the service of all staff was extraordinary and extremely friendly.
I can definitely recommend this place!",Breath taking location with incredible service!!!,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r978320142-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
0,978110364,en,25367549,,"{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",10/31/2024,MOBILE,3,Don’t get a room too close the elevator,[],"The hotel is in a great location and staff goes out of their way. There is a nice little pool and two restaurants (which have the same menu, although they claim differently).
But many of the smaller things could have been done better. The windows have blackout curtains, but you can’t properly close them. There is no suitcase rack in the room. The doors plays a noisy tune when opened, which has no added value and only disturbs the guests in the other rooms. And finally, the rooms are absolutely not sound proof. You can clearly hear noises from all your neighbors and the hallway. And somehow people are pushing furniture around all day starting at 6 AM and ending around 11 PM.
Nice design, nice location, but a bit too restless for us.",Nice but no soundproofing,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r978110364-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
0,976778525,en,25367549,,"{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",10/26/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","What a beautiful, tranquil hotel set high in the hills. The service was great and the food/drink and views amazing. The infinity pool over Kandy is just the icing on the cake. Easy to access Kandy city by either tuk tuk or taxi. Highly recommend staying here if you visit Kandy!",Modern hotel with great views of Kandy,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r976778525-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
0,976774425,en,25367549,,"{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",10/26/2024,MOBILE,4,,[],"beautifully located on a hill a bit outside of the city center. Wonderful restaurant terrace with a view over Kandy and a rooftop terrace with drinks (they did however not have our first choice of drinks from the bar menu available).

Very friendly staff.

Besutiful rooms, ours with a balcony with a view over Kandy.

Small infinity pool on the restaurant level with the same view.

very good food from the buffet, both for dinner and for breakfast.

The only negative point: no five stars because of the way too loud and bad live music during dinner (in our case a guitarist playing songs like ‚Country Roads‘ etc. but off key and way too loud), played without a break (!) from 7 to 10 pm. No conversation possible, even after we had asked to tune the volume down.",nice hotel - if it was not for the loud music…,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r976774425-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
0,976647687,en,25367549,,"{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",10/25/2024,MOBILE,5,,[],"Easy access from the city to this hidden gem and you have  the best views of around kandy from your room's balcony and almost everywhere within the hotel's premises. spacious rooms with all the amenities, Infinity pool is one the best I've ever seen and don't forget to try the both roof top bar and the downstairs restaurant which also comes with a various collection of drinks for you to enjoy. Had the best evening at the roof top bar while having a freshly brewed beer along side with chef's exquisite creation of delicious cuisine which served by a young crew who always wear a smile. Thank you grand serendib . ","Best View of the City, They'll assure an elegant experience ",2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r976647687-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
0,976406831,en,25367549,,"{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",10/23/2024,MOBILE,4,,[],"The staff was very friendly and the room was well otganized and comfy. We did not eat at the hotel but the food smells good! Also very good laundry servicd, quiet location not very far from the lake. Be smart and use the staff to get tultuk and reccomendations",Lovely stay,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r976406831-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
0,973418798,en,25367549,"{'id': '974602562', 'text': 'Dear Guest,\n\nWe appreciate the time you have taken to write a review on trip advisor and we take this opportunity to thank you once again for choosing the Grand Serendib - Kandy for your holiday.\n\nThank you for your positive feedback and we are delighted that you had a memorable time.\nWe hope to have the pleasure of welcoming you back to Grand Serendib – Kandy.\nThank you,\nManagement Team - Grand Serendib Kandy', 'lang': 'en', 'publishedDate': '2024-10-20', 'responder': None, 'connectionToSubject': None}","{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",10/10/2024,OTHER,5,,[],"I am amazed of this beautiful hotel, which offers value for money. Very friendly and supportive staff members. From the first call for direct booking until my check out, staff ensured that I have a great experience. Gihani at reception, Nikita front office management, Lumbinibat restaurant and Dharmapriya as resident manager were among the team who made our stay memorable.
The room was spacious well equipped and satisfy all guest needs. Food served at the restaurant is not only delicious but surely affordable for any. 
I trust it’s needless to mention that I would stay at this lovely hotel only next visit to Kandy.",Extraordinary and offer value for your money!,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r973418798-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
1,972278389,en,25367549,"{'id': '974602540', 'text': 'Dear Guest,\n\nWe appreciate the time you have taken to write a review on trip advisor and we take this opportunity to thank you once again for choosing the Grand Serendib - Kandy for your holiday.\n\nThank you for your positive feedback and we are delighted that you had a memorable time.\nWe hope to have the pleasure of welcoming you back to Grand Serendib – Kandy.\nThank you,\nManagement Team - Grand Serendib Kandy', 'lang': 'en', 'publishedDate': '2024-10-20', 'responder': None, 'connectionToSubject': None}","{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",10/2/2024,MOBILE,5,,[],"The true gauge of a hotel is its staff and the quality of the service they provide  - the Grand Serendib Hotel  not only ticked all the boxes, but it exceeded all expectations. From the moment you arrive until the time you part ways and check out this hotel delivers in every way. The rooms are quality and comfortable - views of Kandy greet you as soon as you pull back the curtains and it’s hard to not just enjoy the balcony outlook and sit and enjoy the city below. The staff though are simply awesome - smiles all round, caring for their guests like a member of the family!  The food quality was also beyond belief -chefs and table service staff could not be better - a winning team! The meals for dinner and breakfast were just the perfect add on to the pleasure of staying and sharing Kandy. The rating for the hotel is well earned and deserved and any visitor to Kandy should seek out this wonderful escape and the ever smiling staff who make hotel stays that level above the remarkable! Well done to all the crew and the attention you pay to those passing travellers!",The only place to stay in Kandy!,2024-10,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r972278389-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
1,972225052,en,25367549,"{'id': '974602532', 'text': 'Dear Guest,\n\nWe appreciate the time you have taken to write a review on trip advisor and we take this opportunity to thank you once again for choosing the Grand Serendib - Kandy for your holiday.\n\nThank you for your positive feedback and we are delighted that you had a memorable time.\nWe hope to have the pleasure of welcoming you back to Grand Serendib – Kandy.\nThank you,\nManagement Team - Grand Serendib Kandy', 'lang': 'en', 'publishedDate': '2024-10-20', 'responder': None, 'connectionToSubject': None}","{'id': '25367549', 'name': 'Grand Serendib Hotel', 'rating': 4.5, 'numberOfReviews': 190, 'locationString': 'Kandy, Kandy District, Central Province', 'latitude': 7.285386, 'longitude': 80.64447, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304138-d25367549-Reviews-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html', 'website': 'https://www.grandserendibhotel.com', 'address': '#12 Mahamaya Mawatha, Kandy 20000 Sri Lanka', 'addressObj': {'street1': '#12 Mahamaya Mawatha', 'street2': None, 'city': 'Kandy', 'state': None, 'country': 'Sri Lanka', 'postalcode': '20000'}, 'ratingHistogram': {'count1': 4, 'count2': 6, 'count3': 7, 'count4': 20, 'count5': 154}}",10/1/2024,OTHER,5,"Overall, the hotel is considered a great place to stay in Kandy, particularly for those looking for a luxurious and relaxing experience with","[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Located on a hillside with stunning vistas of Kandy city, it offers a quiet yet convenient location close to attractions like Kandy Lake and the Temple of the Sacred Tooth Relic.ri Lanka, receives overall positive reviews, praised for its excellent views, comfortable rooms, and peaceful atmosphere","Guests appreciate the modern facilities, including the infinity pool and rooftop Sky Lounge, which provide breathtaking",2024-09,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g304138-d25367549-r972225052-Grand_Serendib_Hotel-Kandy_Kandy_District_Central_Province.html
