helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url
0,976413983,en,2054131,,"{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",10/23/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]",What a little gem. Phil and wathsala are delightful. They help you with tuks tuks to get to places. Breakfast in h the morning was a mixture of fruits. Eggs and little tastes of Sri lanken. Just perfect.  Swimming pool was great to dip into in the evening with the lights on.   We had three different rooms.  Mine cardoman had a lovely view over the gardens and you can hear he bread van and monkeys playing in the distance. My friend had a larger room which as a couple would be nice as it had great outdoor space.  Overall listen to what Wathsala recommends.  She knows her stuff.  Saw fin whales.  And turtles down at turtle beach. Lovely,Great hosts.  Great hotel.,2024-10,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r976413983-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
0,969936445,en,2054131,"{'id': '972350878', 'text': 'New inquiries please email thespicehousemirissa@gmail.com for the cheapest prices ( 10% cheaper than booking.com ) and to choose the room that suites you best\n\nHi Laurence,\nMany thanks for taking the time to write such a positive review for us, it really is much appreciated .\nI have passed on your kind words to the Manager & the rest of the team.\nBest wishes from everyone at the Spice House!', 'lang': 'en', 'publishedDate': '2024-10-02', 'responder': 'Phil Jackson', 'connectionToSubject': 'Owner'}","{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",9/15/2024,OTHER,5,,[],"We arrived at Marissa's Spice House around 3 o'clock and were warmly welcomed by the manager, Ruwan, and his team. Ruwan gave us a tour of the property, which is even more impressive in person than in photos. The lush flora and tiered gardens are stunning, and while there are a few monkeys nearby, they’re not a bother. The lovely pool offers a perfect view of the gardens. That evening, we dined at Ruwan’s recommended local restaurant, Petti Petti, where the food and service were excellent. Tuk-tuks are easily accessible for getting around. The morning’s breakfast is delightful, featuring tea/coffee, fresh fruit, fruit juice, a traditional savoury, toast & condiments and even a piece of chocolate cake, making us reluctant to leave.
Thoroughly enjoyed this little gem & I highly recommended it.",Brilliant Gem,2024-09,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r969936445-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
0,944922371,en,2054131,"{'id': '949397421', 'text': 'New enquiries please book direct for the cheapest rates, email Phil at  - thespicehousemirissa@gmail.com\nKate & Darren many thanks for taking the time to write such a positive review for us. We really do appreciate your comments which we have passed on to all the staff here, thank you!\nKind regards,\nPhil & Wathsala - Owners of the spice house, Mirissa', 'lang': 'en', 'publishedDate': '2024-05-03', 'responder': 'Phil Jackson', 'connectionToSubject': 'Owner'}","{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",4/2/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Ruwan and the wonderful team here at the spice house were so helpful and welcoming from the minute we arrived till the moment we left! The rooms, pool and breakfasts are beautiful and we will definitely return again one day! We will be sure to recommend this place to our families and friends. Thanks for having us! Kate and Darren Hart 😊",Homely and helpful!,2024-04,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r944922371-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
0,944312844,en,2054131,,"{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",3/28/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 4}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 4}]","This place is amazing. We stayed in the Clove Cottage which was rustic but beautiful. It was very private with a balcony that looked out over the jungle. The gardens were beautiful with lots of different colours of the native plants. There were lots of monkeys, squirrels, peacocks and beautiful birds to keep us entertained. The staff were fantastic. They would always stop and speak to you to ask how you were going, what you were doing that day and if there was anything they could do for us. They were the absolute best. The breakfast was different everyday with a mixture of Western and traditional. They did the best scrambled eggs I have ever eaten. The pool was nice and warm so easy to get into and overlooked the beautiful gardens. 
The beach is just across the road and town is a 5 minute walk or a quick Tuk Tuk ride. There are plenty of places close by to eat or drink.
My only negative is the roof over the balcony keeps the breeze out and makes it a bit hotter but I understand the roof would be perfect if it was raining so it's not really a negative.
I would recommend this place in a heart beat and would like to thank all the staff for making our stay here so enjoyable. 
If we ever go back to Mirissa would never stay anywhere else.
Thank you everyone at The Spice House",LOVED IT,2024-02,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r944312844-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
0,942959149,en,2054131,"{'id': '944197038', 'text': 'New guests please email us direct for the cheapest rate ( 10% cheaper than booking.com ). You can also choose individual rooms that suit you best that way.\nMany thanks for taking the time to write such a nice review for us, it really is much appreciated.\nBest wishes,\nPhil & Wathsala - Owners of the spice house mirissa', 'lang': 'en', 'publishedDate': '2024-03-27', 'responder': 'Phil Jackson', 'connectionToSubject': 'Owner'}","{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",3/19/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 4}, {'name': 'Service', 'value': 5}]","Lovely hotel set backing onto the jungle 
2 min walk to the beach 
Staff are helpful and friendly 
Rooms are lovely and rustic 
Perfect place to stay and relax
Sit back watch the sun rise in the morning and enjoy the monkeys jumping through the jungle trees",The Place to stay in Marissa,2024-03,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r942959149-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
1,939139178,en,2054131,"{'id': '944197478', 'text': 'New guests please email  thespicehousemirissa@gmail.com\nfor the cheapest prices ( 10% cheaper than booking.com ) & to choose individual rooms ( all our rooms are different ).\nMany thanks for taking the time to write such a kind review for us, it really is much appreciated.\nWe are sorry to hear that you only had cold water showers as we have solar hot water and also electric power for rainy days? In future if guests experience this please let us know straight away as there should always be hot water available.\nOnce again many thanks for your review.\nBest wishes,\nPhil & Wathsala - Owners of The Spice House, Mirissa\n', 'lang': 'en', 'publishedDate': '2024-03-27', 'responder': 'Phil Jackson', 'connectionToSubject': 'Owner'}","{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",2/21/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 4}, {'name': 'Service', 'value': 5}]","This is an amazing place. A hotel with bungalows in the superb gardens surrounded by jungle. We stayed for a week in one of the garden bungalows, which was great. From the seating area just outside the bungalow, the jungle is literally yards away and monkeys can be heard and seen swinging through the trees. The bungalows have one main room with a bed, aircon and a fridge, a toilet with basin, a separate shower, and one main bedroom. It was pretty rustic - the shower was cold - but climate is so hot that isn't an issue. We had breakfast with other guests, on the terrace of the house/hotel which was really good. Mirissa Beach - which was wonderful - was a short 300SLR tuktuk drive away. There are loads of restaurants on the beaches serving excellent and very reasonably priced food. A great stay.",A wonderful stay at the Spice House,2024-02,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r939139178-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
1,937498287,en,2054131,"{'id': '944197644', 'text': 'New guests please email  thespicehousemirissa@gmail.com\nfor the cheapest prices ( 10% cheaper than booking.com )  you can also choose individual rooms that way ( all of our rooms are different ) and discuss any needs with us.\nMany thanks for taking the time to write such a positive review for us, it really is much appreciated.\nI will pass on your kind words to all of the staff.\nBest wishes,\nPhil & Wathsala - Owners of The Spice House, Mirissa', 'lang': 'en', 'publishedDate': '2024-03-27', 'responder': 'Phil Jackson', 'connectionToSubject': 'Owner'}","{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",2/8/2024,OTHER,5,Mirissa is a busy area and the road is noisy but the beaches are lovely and away from the traffic. ,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Service', 'value': 5}]","The Spice House was an amazing find. It’s a beautiful house in fabulous green garden surroundings. 
The staff were amazing and helpful. We had a lovely en suite room, a comfortable bed, a fridge, and a balcony all over looking the pool. 
The house is thankfully back from the road which is very noisy and busy! 
Breakfasts were delicious too.","Highly recommended, a great find",2024-02,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r937498287-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
0,936585414,en,2054131,"{'id': '936804774', 'text': 'New bookings please email -  thespicehousemirissa@gmail.com\nfor the cheapest rates, always 10% cheaper than booking.com\n\nHi Lars,\nMany thanks for taking the time to write such a positive review for us. It was a pleasure meeting you both and we hope that you enjoyed the rest of your holiday in Sri Lanka.\nBest wishes,\nPhil & Wathsala', 'lang': 'en', 'publishedDate': '2024-02-04', 'responder': 'Phil Jackson', 'connectionToSubject': 'Owner'}","{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",2/1/2024,MOBILE,5,,[],"The hotel helpt by arranging transport from our arrival in Colombo, very helpful after a long flight. A very friendly and warm staff receceived us and was very nice in all aspects. Location is quiet with a peaceful pool and a weellkept garden. Away from traffic but with proximity to the beach. As us being first timers in Sri Lanka and in Mirissa it was immensly helpful to get advice. We loved it and the dog Ginger!",Best possible start on a vacation in Sri Lanka!,2024-02,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r936585414-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
0,936060106,en,2054131,"{'id': '936804951', 'text': 'New bookings please email -   thespicehousemirissa@gmail.com \nfor the cheapest rates, 10% cheaper than booking.com\n\nMany thanks for taking the time to write such a positive review for us it really is much appreciated.\nKind regards,\nPhil & Wathsala - Owners of The Spice House, Mirissa', 'lang': 'en', 'publishedDate': '2024-02-04', 'responder': 'Phil Jackson', 'connectionToSubject': 'Owner'}","{'id': '2054131', 'name': 'The Spice House, Mirissa', 'rating': 5, 'numberOfReviews': 797, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.941379, 'longitude': 80.46868, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d2054131-Reviews-The_Spice_House_Mirissa-Mirissa_Southern_Province.html', 'website': 'http://thespicehousemirissa.com', 'address': 'Km 151, Galle Road, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Km 151, Galle Road', 'street2': '', 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 10, 'count2': 6, 'count3': 19, 'count4': 82, 'count5': 680}}",1/30/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Service', 'value': 5}]","A lovely property with a friendly and laid back vibe. Well equiped rooms -most with balcony and overlooking an extensive tropical garden and inviting pool. We didn't eat there but it was an option with owners/hosts providing great Sri  Lankan food. English owner Phil and his lovely wife were most helpful and gave us great dinner venues to try. They also fixed a reasonable cost driver to take us to the Wild life park and onward to Ella. All in all a faultless stay and great value for the quality provided. Vey handy to explore Mirrisa beaches, Whale watching and Wellygama beach.",Gem of a place to stay in Mirrisa,2024-01,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1407334-d2054131-r936060106-The_Spice_House_Mirissa-Mirissa_Southern_Province.html
0,976918216,en,15749075,,"{'id': '15749075', 'name': 'Fresh Wave Mirissa', 'rating': 4.5, 'numberOfReviews': 213, 'locationString': 'Mirissa, Southern Province', 'latitude': 5.945162, 'longitude': 80.459724, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1407334-d15749075-Reviews-Fresh_Wave_Mirissa-Mirissa_Southern_Province.html', 'website': None, 'address': 'Udupila Junction, Mirissa 81740 Sri Lanka', 'addressObj': {'street1': 'Udupila Junction', 'street2': None, 'city': 'Mirissa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '81740'}, 'ratingHistogram': {'count1': 11, 'count2': 5, 'count3': 11, 'count4': 26, 'count5': 160}}",10/27/2024,OTHER,3,,[],"Nice hotel in terms of location and restaurant. The hotel is right in the beach and you can go in the sea! Breakfast was good and happy hour drinks are reasonable! 
Unfortunately though our room was very noisy in terms of the road traffic, voices on speakers, music etc. this kept us awake most of the night. There was also a strong smell of drains and there is no proper curtains meaning the room is very bright in the morning. 
Value for money on the whole is good. 
Our room was not a sea view but if you book a sea view don’t expect to see the water as there are trees blocking the view.",Nice hotel but needs some work,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1407334-d15749075-r976918216-Fresh_Wave_Mirissa-Mirissa_Southern_Province.html
