helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978230955,en,8073048,,"{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",11/1/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","It was an amazing hotel my last day after two months in Sri Lanka, it is a beautiful Island and I will come back again for my forth time to Sr Lanka and again to this beautiful hotel, staff were brilliant and helpful specially in the front office and the reastaurant as well , they are sustainable practicing hotel as well, special mentions from the front desk lahiru, rikas, sampath, shenali, rashmi and sithija",Had a wonderful time,2024-11,SOLO,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r978230955-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976972605,en,8073048,"{'id': '977059786', 'text': 'Dear Valued Guest Peter, Greetings from Sentido Heritance Negombo, Sri Lanka! We are on cloud nine to receive a delightful feedback from the lovely couple. Each kind and authentic word means a lot to us. We are always committed to providing top-notch hospitality to please our guests. Rest assured, we will convey your special shout-out to the relevant staff who made your stay sensational. We earnestly await your next visit in the near future to delight your taste buds with our delectable food and your eyes with the panoramic and picturesque scenery. Thank you.\n', 'lang': 'en', 'publishedDate': '2024-10-29', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/28/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","We loved the Hotel, the place was so nice, but the staff were just so happy and helpful. But the highlight was the restaurant/bar staff who made our stay beyond perfect. Special thanks to Dinesh and the team who just made us so welcome and looked after us so well we thought we were spoilt. I cannot praise and thank them enough",Mr & Mrs Peter,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r976972605-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976672398,en,8073048,"{'id': '976916173', 'text': 'Dear Valued Guest, Greetings from Sentido Heritance Negombo, Sri Lanka! We are on cloud nine to receive your captivating feedback. Each word of yours warmed our hearts. Thank you for highlighting the SPA service in your review. We look forward to welcoming you back in the near future to rejuvenate your mind and body while enjoying our top-notch hospitality. Thank you.\n', 'lang': 'en', 'publishedDate': '2024-10-28', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/26/2024,OTHER,5,,[],My experience began well having arrived just before 11 a.m. after circa 22 hours travelling when I was given an early check in with no extra charge.  I had a lively light lunch in the gardens by the pool looking out at the beach and listening to the sound of the ocean.  The dinner was delicious.  All the staff were most welcoming and helpful.  The highlight was the best ever massage in the spa where I potted for the Balinese massage - a perfect way to banish jetlag. A great start to my holiday.,A great start to my holiday,2024-10,SOLO,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r976672398-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976651660,en,8073048,"{'id': '976915480', 'text': 'Dear Valued Guest Stefani, Greetings from Sentido Heritance Negombo, Sri Lanka! Thank you for sharing your captivating feedback. Each authentic word of yours touched our hearts. We are always committed to rendering hospitality service which goes above and beyond the guests expectations. Rest assured, we will convey your kind words to the relevant staff who impressed you by the service. We look forward to your next visit in the near future to toast yourselves and unwind. We hope to see you soon. Have a safe journey! Thank you.', 'lang': 'en', 'publishedDate': '2024-10-28', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/25/2024,OTHER,5,,[],The rooms are very clean and nice. The Service from Kassandra and Shan from the reception and the whole hotel is amazing and outstanding. Must thank the kitchen for the great food.  I loved the pool good Temperaturen and B Bumbs were amazing and very kind.,We would come back,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r976651660-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,976336007,en,8073048,"{'id': '976400379', 'text': 'Dear Valued Guest Dam, Greetings from Sentido Heritance Negombo, Sri Lanka! We are ecstatic to receive your fabulous feedback and the recommendation. Each word of yours energizes us to continue providing exceptional hospitality service to please our all guests. We look forward to your next visit in the near future for another enjoyable stay. Thank you.\n', 'lang': 'en', 'publishedDate': '2024-10-24', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/23/2024,OTHER,5,,"[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Great hotel looking over beach, very friendly staff and comfortable bright rooms. Good pool area and seating looking out to the sea.  Beach in front appeared clean. Good location with plenty of optional eateries close by. Would recommend a stay at this Heritance property.",Great quality hotel,2024-10,SOLO,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r976336007-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974910753,en,8073048,"{'id': '975016770', 'text': 'Dear Valued Guest Amanda, Greetings from Sentido Heritance Negombo, Sri Lanka! We were mesmerized with your captivating feedback. Each word of yours warmed our hearts. It validates our commitment and effort in rendering to please our guests. We look forward to welcoming you back for another memorable stay. Thank you.', 'lang': 'en', 'publishedDate': '2024-10-23', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/22/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Great bathroom, excellent bed, quiet rooms with ocean views, fantastic buffet breakfast, loved the egg hoppers and vegetable dhal. Pool overlooking the ocean, good gym that I actually used!
Fantastic staff, super smooth check in which was appreciated at 12.30am.","Well located beach front hotel, great rooms",2024-10,SOLO,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r974910753-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974519073,en,8073048,"{'id': '974744744', 'text': ""Dear Valued Guest Steve, Greetings from Sentido Heritance Negombo, Sri Lanka! Thank you for sharing your captivating feedback. Each authentic word of yours touched our hearts. We are always committed to rendering hospitality service which goes above and beyond the guests' expectations. Rest assured, we will convey your kind words to the relevant staff who impressed you by the service. We are keen to welcome you back with plenty of time to indulge in our top-notch hospitality and enjoy the panoramic sea scenery. Thank you.\n"", 'lang': 'en', 'publishedDate': '2024-10-21', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/19/2024,MOBILE,5,,[],"Amazing hotel and fantastic staff .Sampath was so helpful on our trips out side the hotel .Also I feel I have to mention just a few more of the hotel staff who gave us a amazing send off to day ,Dayah,Rashmi,Prasanna,kassanck,Shan,Kevin,Inuck,Shiyan,Sijitha .These people are like family to us , there all amazing and we miss you all dearly .Thanks for  making our holiday fantastic. Steve and Dawn from England Yorkshire ",The best hoilday,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r974519073-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974351755,en,8073048,"{'id': '974743588', 'text': 'Dear Valued Guest Jaime, Greetings from Sentido Heritance Negombo, Sri Lanka! Thank you for the generous review and the perfect score given to us. We are elated to hear that you enjoyed the stay with us. Rest assured, we will convey your special shout-out to the relevant staff who made your stay sensational.We earnestly await your next visit to indulge in our exceptional hospitality while enjoying the panoramic and picturesque scenery. Thank you.', 'lang': 'en', 'publishedDate': '2024-10-21', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/17/2024,OTHER,5,"If you are a confident swimmer go swim in the beach, its fun.","[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","I have stayed here for 7 nights and everything was great. Riyas, Maheshini, Shiyan, & Kassandra at the reception are awesome and very helpful. The location is great. The most favorite thing is the view from my room. I could spend for an hour to sit near the window and do nothing. Absolutely love the experience. I would visit your hotel again in the future.",Awesome hotel,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r974351755-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974128075,en,8073048,"{'id': '974216052', 'text': 'Dear Valued Guest Dhileepanp, Greetings from Sentido Heritance Negombo, Sri Lanka! We were mesmerized by your fantastic feedback. It creates a dynamic vibration within us to continue providing hospitality which goes above and beyond the guests expectations. Rest assured, we will convey your sincere gratitude to the relevant staff who took care of you during the stay. We look forward to welcoming you back in the near future to delight your taste-buds with our delectable food and your eyes with the picturesque scenery. Thank you.\n', 'lang': 'en', 'publishedDate': '2024-10-17', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/16/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","What a memorable and amazing experience on Sentido Heritance Negombo. The staff at the reception were dedicated to ensuring that our vacation was remarkable, every morning we were greeted with warmth and pleasant smiles from Shan, Kassandra, Gayan, and Riyas. 
Suresh, the best bartender ever was professional and so knowledgeable. We had many great conversations with him and will miss him. I am planning a return trip.",Wonderful experience here!,2024-09,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r974128075-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,974126924,en,8073048,"{'id': '974215949', 'text': 'Dear Valued Guest Yohan, Greetings from Sentido Heritance Negombo, Sri Lanka! We are profoundly happy to hear your delightful compliments. Each word of yours impressed us and touched our hearts. Rest assured, we will convey your sincere gratitude to the relevant management and staff who made your stay fruitful and wonderful. We are keen to welcome you back in the near future. Thank you.\n', 'lang': 'en', 'publishedDate': '2024-10-17', 'responder': None, 'connectionToSubject': None}","{'id': '8073048', 'name': 'Sentido Heritance Negombo', 'rating': 4.5, 'numberOfReviews': 2266, 'locationString': 'Negombo, Western Province', 'latitude': 7.234856, 'longitude': 79.84086, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g297897-d8073048-Reviews-Sentido_Heritance_Negombo-Negombo_Western_Province.html', 'website': 'http://www.heritancehotels.com/negombo/?utm_source=www.tripadvisor.com&utm_medium=referral&utm_campaign=hn-tripadvisor', 'address': '175 Lewis Place, Negombo 11500 Sri Lanka', 'addressObj': {'street1': '175 Lewis Place', 'street2': None, 'city': 'Negombo', 'state': None, 'country': 'Sri Lanka', 'postalcode': '11500'}, 'ratingHistogram': {'count1': 53, 'count2': 34, 'count3': 126, 'count4': 425, 'count5': 1629}}",10/16/2024,OTHER,5,Everything was great,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Excellent stay at the hotel. From the check in to checkout everything was great. Mr Prasanna and his team did a good job. Special thanks to Lahiru and Shenali they were very helpful and kind and overall ,the staff were really helpful and kind as well.",Excellent stay at the hotel. From the check in to checkout everything was great. Mr Prasanna and his team did a good job,2024-10,BUSINESS,https://www.tripadvisor.com/ShowUserReviews-g297897-d8073048-r974126924-Sentido_Heritance_Negombo-Negombo_Western_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
