helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url
0,978466900,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",11/2/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 4}]","From the beginning everything was fine. Room were cleaning everyday, staff very friendly, smiley and helpful. Rooms with the view on sea was spacious, the view from balcony was spectacular. The ac little bit too noisy, but you can used to it. Meals was fresh, varied and delicious. We're never met as helpfull and friendly staff in our previous trips. 
If you need any trip, no metter where you can call Guna in the lobby +94 77 653 6349 or his son Sadii +94 76 409 5569 they can make that you're dream come true, every trip with Sadii was well organized, safe, fascinating and fun, there was no problem with additional breaks in the journey, he met all our expectations. Very good prices, we had a comparison with others and they are really good. We recommend it with all our hearts. Thank you for all the trips.",One of the best holidays,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r978466900-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
0,978461970,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",11/2/2024,OTHER,4,,[],"I recently stayed at Jie Jie Beach Panadura and had a wonderful experience! The service provided by the staff was exceptional, and I would especially like to commend Umesh, the receptionist, for going above and beyond to ensure our stay was enjoyable.

To make my mother’s birthday special, the hotel surprised us with a complimentary birthday cake and a lovely fruit platter. This thoughtful gesture added a personal touch to our celebration.

I've noticed significant improvements in the hotel compared to previous visits, making it an even more enjoyable place to stay. I highly recommend Jie Jie Beach Panadura to anyone looking for a relaxing getaway. The friendly staff and great amenities make it a perfect choice.",Review for Jie Jie Beach Panadura.,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r978461970-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
1,977975891,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",10/30/2024,OTHER,5,,[],"""Our school recently took a group of kids for an outing at Jie Jie, and it was a wonderful experience! The staff provided excellent service, ensuring that everything ran smoothly, and the food was delicious, catering well for children. The kids had a fantastic time, and we appreciated the care and hospitality from the Jie Jie team. Highly recommended for school outings or family trips!""",Fantastic School Outing Experience at Jie Jie!,2024-10,BUSINESS,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r977975891-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
0,977107692,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",10/29/2024,OTHER,1,We don't recommend this hotel,"[{'name': 'Value', 'value': 1}, {'name': 'Rooms', 'value': 1}, {'name': 'Location', 'value': 1}, {'name': 'Cleanliness', 'value': 1}, {'name': 'Service', 'value': 1}, {'name': 'Sleep Quality', 'value': 1}]","We held an event at Jie Jie by Jetwing on October 26 and, unfortunately, were disappointed by the experience, especially considering the superb service we had received in previous years. Although we don’t expect five-star standards, our past events at Jie Jie by Jetwing since 2018 had been handled excellently. However, with the recent management change, the service quality and overall experience seem to have noticeably declined.

Firstly, while Mr. Eric and Champika made commendable efforts, certain issues impacted our event.

The handling of the event’s end time by Mr. Wasantha felt unprofessional—though we had agreed on a midnight end, he began pressuring us to stop the band as early as 11:15 p.m. This created unnecessary stress and disruption.

Additionally, despite providing 10 kg of dry bites, 15 kg of guava, and 160 green apples, only a few plates were served in the Grand Ballroom, making us question if our items were served as agreed. Furthermore, staff often cleared plates and glasses without checking if they were still in use, disrupting our guests’ experience.

The driver meal was substandard, not in line with what we'd expect from a star-class hotel. Some staff members even spoke rudely to our team, including senior managers, and the overall attitude felt rushed, as if the staff were eager for the event to end. Due to the rain, we wanted to use the indoor entrance to the ballroom, but staff discouraged this, causing inconvenience.

We were also charged unexpectedly an additional Rs. 25,000 for electricity, which we had assumed was included in our package.

An extra 24 bottles of soft drinks were billed without our authorization, which led to unapproved additional costs.

There was a significant water leak in the ballroom due to heavy rain, We intended to block one door of the Grand Ball Room, but the lock was broken, the key card for one of our rooms failed, and our team had to wait nearly an hour for access. The maintenance team eventually opened the door manually, attributing the issue to a dead lock battery and an unpleasant odor in the hall, all of which affected the ambiance of our event.

Overall, despite some staff efforts, our experience didn’t meet expectations.",Disappointing Experience at Jie Jie by Jetwing,2024-10,BUSINESS,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r977107692-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
0,976802662,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",10/27/2024,OTHER,5,,[],"This is my 3rd visit. Came with my friends with their families. It has peace and calm environment and had a great time. Extremely good and helpful staff. Foods was tasty, rooms and pool was clean.
Ms Sithmini at the reception extremely helpful. Our stay was a comfortable and trouble free one.

Thank you.",Recommended,2024-10,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r976802662-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
2,976555887,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",10/25/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 4}, {'name': 'Service', 'value': 5}]","I recently attended a corporate function at Jai Jai Beach Hotel as a organising personal , and it was nothing short of amazing! Not only does this hotel offer breathtaking views and exceptional facilities, but it also has some of the most dedicated and helpful staff I’ve encountered. One standout team member, Champika, went above and beyond in supporting our event. Her expertise and creativity were invaluable, offering ideas and suggestions that elevated our function to the next level.

Thanks to Champika's insights, our event flowed smoothly and left everyone thoroughly impressed. Jai Jai Beach Hotel is truly fortunate to have team members like her who are committed to providing a fantastic experience. This hotel is the perfect blend of luxury, hospitality, and professionalism. Highly recommend it for both leisure stays and corporate events!",Great staff ***great food,2024-10,BUSINESS,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r976555887-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
1,973852626,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",10/14/2024,OTHER,5,One lift is out of order,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 4}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 4}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]",It was an amazing experience. Good food and friendly service. I would like to recommend Ms. Champika for her excellent service. Rooms are pretty good. Surroundings are ok. Easy to access. Ample parking. Evening sunset provides a very nice view. Seating near outdoor bar area is very convenient.,Excellent service,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r973852626-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
1,973842914,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",10/14/2024,OTHER,5,"One lift was not worked, we were waited there much time and was disturbed to others too","[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","We had our corporate Dayout around 300pax on first week of October at Jie Jie beach. Everything were Good and Champika who was from Sales team did a great job to our whole event to get succeed and well planned. Rooms, Hospitality, Foods and all commitments were Highly recommending and the corporation from Jie Jie beach team including front office Sithmini is Highly appreciated.",Great and Recommending to visit,2024-10,BUSINESS,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r973842914-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
1,973747824,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",10/13/2024,OTHER,5,,[],We had a great experience at this hotel and the staff was amazing- special thanks to Ms. @champika. Great location and the kids loved it. The beach is very close and the families with kids will love it. Great food and services at the hotel. Affordable.,Great experience,2024-09,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r973747824-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
1,972811578,en,10422418,,"{'id': '10422418', 'name': 'Jie Jie Beach by Jetwing', 'rating': 4, 'numberOfReviews': 677, 'locationString': 'Panadura, Western Province', 'latitude': 6.70331, 'longitude': 79.905975, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1097569-d10422418-Reviews-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html', 'website': 'http://www.jiejiebeach.com', 'address': '150 Beach Road Uyankelle, Panadura 12500 Sri Lanka', 'addressObj': {'street1': '150 Beach Road', 'street2': 'Uyankelle', 'city': 'Panadura', 'state': None, 'country': 'Sri Lanka', 'postalcode': '12500'}, 'ratingHistogram': {'count1': 52, 'count2': 32, 'count3': 82, 'count4': 179, 'count5': 334}}",10/6/2024,MOBILE,5,,[],"Great location for weddings, parties & family functions. They have good packages. The staff was super supportive & friendly. Special mention of Ms Champika & Mr Eric. They made sure that all our requirements were fulfilled. We had an absolutely great time. Thank you",Great Location,2024-09,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1097569-d10422418-r972811578-Jie_Jie_Beach_by_Jetwing-Panadura_Western_Province.html
