helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url
0,976686005,en,447419,"{'id': '976910556', 'text': ""Dear Guest,\n\nGreetings from Deer Park Hotel\n\nWe are delighted to hear that you'll had a memorable stay with us.\n\nComments such as yours motives  my team and we are happy to serve \n\nLooking forward to welcome you on your next visit to Sri Lanka\n\nIt's a promise delivered \n\nBest Regards\n\nNizar\nGroup Chief Operating Officer "", 'lang': 'en', 'publishedDate': '2024-10-27', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",10/26/2024,MOBILE,5,,[],My friend and me have spent one night in hotel during our trip in Sri Lanka. We were very happy as we have seen how hotel was beautiful. Room is in cosy cottage very comfortable. BathroM was marvelous  with open space inside. From the terrace we had a beautuful view on the lake. Staff was very kind and polite..we used the pool and it was wonderful relax after the whole day visiting Polonaruwa....food was excellent. We hope that we would have ocasion  to come back one day and stay few days in Deer Park. Two golden age ladies from Croatia,Wonderful hotel,2024-10,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r976686005-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
0,971313107,en,447419,"{'id': '971372525', 'text': 'Dear Guest\n\nGreetings from Deer Park Hotel \n\nI am glad that the team was able to assist you and thank you for your review and recommendation ..  \n\nOur prime concern is guest satisfaction and happy to note that you and your family had a fantastic experience .\n\nBest Regards\nNiz ', 'lang': 'en', 'publishedDate': '2024-09-25', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",9/25/2024,OTHER,4,,[],"I visited Deer Park Giritale with my family and had a fantastic experience. Since it was a long weekend ( Sep 15th and 16th) all the rooms were fully booked. Although we initially requested a pool view rooms which is closer to restaurant it was not communicated properly and we were given rooms bit far from the restaurant and lobby, which was difficult to walk to my parents and we couldn't change it at the last minute. However, Mr. Joseph ( Hotel Manager) and Harshaka ( Guest Coordinator)found a good solution and they manage to allocate a nearby rooms for us to enjoy our stay. The rooms were clean and of high quality, and the food was delicious. Overall, it was a lovely experience with beautiful view facing Giritale Lake. I highly recommend this place because of the view, food and good customer experience.","Splendid Experience at Hotel Deer Park, Giritale",2024-09,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r971313107-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
0,970591981,en,447419,"{'id': '970931750', 'text': 'Dear Guest, \n\nGreetings from Deer Park Hotel.\n\nWe thank  you for your elaborated review  and we make sure that an  extraordinary retreat  combined luxury, preserving the nature and impeccable service is our main objective \n\nWe once again thank you for the review \n\nWarm Regards \n\nNiz \nGroup Chief Operating Officer \n\n', 'lang': 'en', 'publishedDate': '2024-09-22', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",9/20/2024,OTHER,5,,[],"The Deer Park Hotel in Giritale is an extraordinary retreat that combines luxury, nature, and impeccable service.

Room Cleanliness: The rooms are spotless, with meticulous attention to hygiene and comfort, ensuring a pristine environment.

Friendly Staff: The staff’s warmth and attentiveness make every guest feel welcomed and cared for, with personalized service that enhances the experience.

Breathtaking Views: Overlooking Giritale Lake, the hotel offers stunning views of the water and surrounding forest, creating a tranquil atmosphere.

In short, The Deer Park Hotel delivers an unforgettable experience with top-tier service, serene surroundings, and unparalleled beauty—truly a must-visit destination","Discover Paradise: Experience Unmatched Luxury, Pristine Views, and Exceptional Service at The Deer Park Hotel, Giritale",2024-09,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r970591981-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
0,970301886,en,447419,"{'id': '970375161', 'text': 'Dear Guest \n\nThank you for the review and thank you for choosing Deer Park Hotel for your holiday \n\nI have shared your review with the entire team and they are thrilled to hear that we have made your stay memorable \n\nIt was indeed a  pleasure having you and thank you for choosing Deer Park Hotel\n\nLooking forward to see you in the near future \n\nBest Regards \n\nNiz \nGroup Chief Operating Officer ', 'lang': 'en', 'publishedDate': '2024-09-18', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",9/18/2024,OTHER,5,,"[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","We had a fantastic stay at this hotel! The rooms were comfortable, with all the amenities you could ask for, and the view of the lake was absolutely stunning. It’s the perfect spot for relaxing and taking in the natural beauty. 
The food was excellent, though I do remember the menu being a bit more extensive back in 2012, but it’s still delicious. 
The service was warm and welcoming, making the experience even more enjoyable. 
Overall, it’s a great place to unwind and enjoy a peaceful escape by the lake.",Relaxing Stay with Beautiful Lake view.,2024-09,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r970301886-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
0,970150041,en,447419,"{'id': '970375010', 'text': 'Dear Guest \n\nGreetings from deer Park Hotel\n\nWe are happy to note that you had a great time .. We are a nature friendluy hotel and at times we have monkey menace   \n\nThank you \n\nBest Regards\n\nNiz\nGroup Chief Operating Officer ', 'lang': 'en', 'publishedDate': '2024-09-18', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",9/17/2024,MOBILE,4,,[],"Nice view in front of Girithale lake.Rooms ok,Staff including the manager very good and friendly.Food good and clean.Be careful  staying out side with food,as soon as we got there a simian took my box of food. He ran to the tree ,after eating dropped the box 🤤 .Closer to Polonnaruwa and Kaudulla.We enjoyed the trip so much staying at this hotel.Highly recommended to anyone who wishes to visit Polonnaruwa.",Charming hotel with  many locations to visit.,2024-09,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r970150041-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
0,968609944,en,447419,"{'id': '968954743', 'text': ""Dear Guest, \n\nGreetings from Deer Park Hotel \n\nWe are happy to hear that you'll had a pleasant time\n\nDo reach out to us when you plan your next with at Deer Park Hotel\n\nBest Regards\n\nNizar\nGroup Chief  Operating Officer "", 'lang': 'en', 'publishedDate': '2024-09-09', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",9/6/2024,OTHER,4,,[],We stayed 2 days with our friends. The atmosphere at the hotel was very calming and we had a pleasant time. It’s the perfect place to unwind from the hustle bustle in a city life. The staff were friendly and breakfast buffet was good. Would love to visit there sometime again when the time permits.,Relaxing Atmosphere,2024-06,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r968609944-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
1,965990944,en,447419,"{'id': '966954800', 'text': 'Dear  Guest\n\nThank you for your review and happy to note that you enjoyed your stay with us which is the best reward a hotel could obtain in terms of customer satisfaction ...   \n\nLook forward in welcoming you at Deer Park on your next holiday and once again thank you for the review \n\nRegards \n\nNiz\nGroup Chief Operating Officer ', 'lang': 'en', 'publishedDate': '2024-08-26', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",8/21/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","I was delighted with the surrounding which was full of nature.Please come and feel it.relaxing environment with two pools and Jacuzzi experience.Rooms are connected and surrounded with natural environment .
Buffet was really good. Can get boat rides,Minneriya national park safari and other ancient polonnaruwa.staff wwas really good.",Relaxing destination,2024-08,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r965990944-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
0,965831239,en,447419,"{'id': '965914812', 'text': 'Dear Guest, \n\nWarm regards from Deer Park Hotel \n\nIt was indeed a pleasure meeting you and I have shared the review with the entire team and they are thrilled.\n\nTaking special care of each and every guest is our utmost importance and catering to every request during their stay.\n\nI once again thank you for your review and look forward to meet you once again\n\nBest Regards\n\nNiz   ', 'lang': 'en', 'publishedDate': '2024-08-20', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",8/20/2024,MOBILE,5,Keep an eye on the sneaking monkeys and try a drink on the deck in the night ,[],"What you sense as you enter the Hotel premises would definitely take you to the Kingdom of Polonnaruwa around 1500 years back to the Ceylon History.
Absolutely a calm and wide spread hotel with scatteredly built villas of many designs standing out harmoniously with massive and old trees.
Villas are ideal for Romantic couples who share one soul and love extreme relaxation.
Very efficient and prompt staff is a great blessing and Mr Nizar.. The gentleman Group CEO does a marvelous fatherly job in pleasing every guest the pinnacle. 
Food is extremely fresh and scrumptious with a great variety and excellenty presented. 
I don't take the monkeys a menace. Those little creatures are a pleasure to observe. 
My best experience was the sipping of a whisky on the rocks, on the Moony night on the deck overlooking the wavy Girithale Tank.... To the tune of gloomy songs of cicadas. 
Extremely attracted to this Charming hotel 
",Enchanting yet Majestic hotel scattered over 75 acres of Massive whispering trees with a touch of old Ceylon architecture  along,2024-08,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r965831239-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
0,965149389,en,447419,"{'id': '965211694', 'text': 'Dear  Guest\n\nThank you for your review ...   \n\nWe are happy to note that you loved the place and the hospitality extended ..\n\nLook forward in welcoming you at Deer Park on your next holiday \n\nRegards \n\nNizar\nGroup Chief Operating Officer ', 'lang': 'en', 'publishedDate': '2024-08-16', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",8/16/2024,OTHER,4,,"[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 4}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","The hotel is located amid the eco friendly environment with full of trees, hence provides a calm and cool environment. It faces the Giritale lake and the view is stunning. The rooms and spacious and comes with shower areas built on ecofriendly manners. The food and the service are great.",Relaxing stay!!,2024-08,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r965149389-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
0,964961918,en,447419,"{'id': '965211656', 'text': 'Dear Guest \n\nThank you for the review \n\nI have shared your review with the entire team    \n\nIt was indeed a  pleasure and thank you for choosing Deer Park Hotel and as a nature friendly hotel and the being very close to the national park.. Yes we do have monkeys but they are not aggressive  \n\nLooking forward to see you in the near future \n\nBest Regards \n\nNiz \nGroup Chief Operating Officer ', 'lang': 'en', 'publishedDate': '2024-08-16', 'responder': 'M I M NIZAR', 'connectionToSubject': 'Other'}","{'id': '447419', 'name': 'Deer Park Hotel', 'rating': 4, 'numberOfReviews': 826, 'locationString': 'Polonnaruwa, North Central Province', 'latitude': 7.990125, 'longitude': 80.92164, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g304140-d447419-Reviews-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html', 'website': 'http://www.deerparksrilanka.com/', 'address': 'Elahera Road, Polonnaruwa 51000 Sri Lanka', 'addressObj': {'street1': 'Elahera Road', 'street2': '', 'city': 'Polonnaruwa', 'state': None, 'country': 'Sri Lanka', 'postalcode': '51000'}, 'ratingHistogram': {'count1': 29, 'count2': 31, 'count3': 92, 'count4': 278, 'count5': 396}}",8/15/2024,OTHER,3,,"[{'name': 'Value', 'value': 3}, {'name': 'Rooms', 'value': 4}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 4}, {'name': 'Service', 'value': 4}, {'name': 'Sleep Quality', 'value': 4}]","The rooms were very fancy with an amazing shower, though I would not recommend going onto the balcony due to scary monkeys who also like to thump on the roof at night. They cater to large weddings so the food wasn't the best but the view of the lake from the hotel was wonderful.",Good overnight hotel,2024-07,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g304140-d447419-r964961918-Deer_Park_Hotel-Polonnaruwa_North_Central_Province.html
