helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978459818,en,8869502,,"{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",11/2/2024,OTHER,4,"There is space behind the big pool with a nice shadow and a low water space for kids, perfect secret spot for family","[{'name': 'Value', 'value': 4}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 4}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 4}, {'name': 'Sleep Quality', 'value': 5}]","We stayed for 6 days, the hotel is really beautiful and room spacious, our cleaning lady Hiruni was so nice person, she helped and cleaned our bed after our baby pucked in it, she didnt hesitated and was very helpful in such hard situation. The staff in restaurant is also very polite and nice, some of them maybe bit slow, but we got just nice interactions. There are many activities in the hotel for kids, which we apreciated, kids club is amazing, sea is very rough even for adult good swimmers. But the walks on the beach are very beautiful and pools are big enough, so we didnt even missed the sea swimming",Great place for families,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978459818-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978454784,en,8869502,,"{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",11/2/2024,OTHER,5,,[],Customer service was in an another level. We were very excited. Mr kanishka in bojunhala helped us very much. You are lucky to have such kind of people here. Thank you very much for all if you. Specially for mr. Kanishka........... one of the best place that I have being.,Supportive staff is very helpfull,2024-11,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978454784-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978444144,en,8869502,,"{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",11/2/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","This is our favorite destination since our baby as they have everything perfectly for children. Starting from the food, pool, kids activities, carnivals and multiple play areas for kids. The best thing about the kidz zone here is they have 2 wonderful staff members- Sureshani and Pasinduni to look after the kids. Not only they look after the kids, they play with them, get them to do very exciting activities and they do their maximum to make our stay perfect for both parents and kids. And it doesn't feel like they are actually doing a job here as they are so actively engaged with the kids everytime and they do love them so much! Thanks alot Sureshani and Pasinduni for everything. And each and every restaurant staff member is so friendly and supported us in every possible way and made sure we had a great time. The food is delicious and there is a very good spread for vegetarians as well as non- vegetarians. 
The rooms are clean and love the ambience. The bathroom is spacious. 
Well, there are alot of activities for adults and kids in this hotel and it makes the stay even more interesting!
Thank you everyone for making our stay wonderful!",Wonderful vacation for my kid and us!,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978444144-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978384845,en,8869502,,"{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",11/2/2024,OTHER,5,,[],Its a lovely place for kids.. lots of things to do and keep them occupied.. the staff were genuinely attentive and courteous to all our needs.. specially Prasad who went out of his way when it came to our baby's food requirements.. all other staff were very friendly and hospitable too..,Great for kids,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978384845-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978340662,en,8869502,,"{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",11/2/2024,OTHER,5,,[],Stopped here for lunch at their restaurant called bojunhata. They offer a great selection of food ranging from traditional Sri Lankan to western and Asian cuisines. Our server Prasad provided us a wonderful experience here with his recommendations and efficient service catering to our needs.,Superb and spacious resort,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978340662-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978335255,en,8869502,,"{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",11/2/2024,OTHER,5,,[],"It was a pleasant experience and the food is great. We enjoyed the variety of dishes and authentic Sri Lankan and Indian food was amazing and delicious. The staff were very friendly and welcoming.
Prasad who served us was very helpful and assisted us with all our needs.Thank you very much.",Great food and lovely people,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978335255-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978327155,en,8869502,,"{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",11/1/2024,OTHER,5,,[],"Had the best time at the pool. The staff are amazing and specially the water aerobic session was excellent and engaging from Akash and Priyadarshana - Sports and Recreations. Everyone was having an amazing time.

Thilina was extremely helpful around the pool.",Water Aerobics - A must try !,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978327155-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978319329,en,8869502,,"{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",11/1/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 4}, {'name': 'Sleep Quality', 'value': 5}]","We were so looked after at this beautiful hotel I can’t name you all but the waiters took care of us were Vihanga
Prasad
Waitress 
Chamodya
Prabashani
There was a good veriety of food seltion.
Thank you all for making my 70 birthday celebrations special.
 ❤️❤️❤️",Bojunhala,2024-10,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978319329-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,978203441,en,8869502,"{'id': '978222118', 'text': ""Dear Anusara\nThank you for sharing such a glowing review of your recent stay with us! We're delighted to hear you had a fantastic experience and found the rooms clean and relaxing. Akash, Imesh, and Pushpitha are thrilled to be recognized for making your stay memorable with their friendly and attentive service.\n\nIt’s wonderful to know you enjoyed the recreational activities and that the pool provided the perfect space for both adults and kids. We look forward to welcoming you back for more memorable experiences soon!\nTill we meet again please take care.\n\nRefhan Razeen\nGeneral Manager"", 'lang': 'en', 'publishedDate': '2024-11-01', 'responder': None, 'connectionToSubject': None}","{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",10/31/2024,MOBILE,5,,[],"I recently stayed at this wonderful hotel and had a fantastic experience! The rooms were clean and comfortable, offering a relaxing atmosphere. The staff, especially Akash, Imesh, and Pushpitha, went above and beyond to make our stay memorable. They were always friendly, attentive, and eager to help with anything we needed.

The recreational activities were a highlight. We enjoyed the pool, which was perfect for both adults and kids,",Shangri-la review,2024-10,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978203441-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,978199859,en,8869502,"{'id': '978207825', 'text': 'Dear Karin\nThank you for sharing your excitement about the trapeze experience! We’re thrilled to hear that both kids and adults had a fantastic time. Imesh and Pushpitha will be delighted to know they helped make your adventure memorable.\n\nYour recommendation means a lot to us, and we look forward to welcoming all of you back for more thrills!\nTill we meet again please take care.\n\nRefhan Razeen\nGeneral Manager', 'lang': 'en', 'publishedDate': '2024-11-01', 'responder': None, 'connectionToSubject': None}","{'id': '8869502', 'name': 'Shangri-La Hambantota', 'rating': 4.5, 'numberOfReviews': 2645, 'locationString': 'Hambantota, Tangalle, Southern Province', 'latitude': 6.112264, 'longitude': 81.063934, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g1027209-d8869502-Reviews-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html', 'website': 'http://www.shangri-la.com/hambantota/shangrila', 'address': 'Sittrakala Estate Chithragala, Hambantota, Tangalle 82100 Sri Lanka', 'addressObj': {'street1': 'Sittrakala Estate', 'street2': 'Chithragala', 'city': 'Hambantota', 'state': None, 'country': 'Sri Lanka', 'postalcode': '82100'}, 'ratingHistogram': {'count1': 67, 'count2': 61, 'count3': 142, 'count4': 416, 'count5': 1959}}",10/31/2024,OTHER,5,,[],"Great thrill with the trapeze. Friendly staff, wonderful experience!!!! 
The kids loved it and also great for grown ups! 
Imesh and Pushpitha dis a fantastic job!!! 
Recommended for all adventure seeking persons!
Karin, Lovisa, Anna, Sofia, Axel, Kristofer",Trapeze,2024-11,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g1027209-d8869502-r978199859-Shangri_La_Hambantota-Hambantota_Tangalle_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
