helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978318200,en,15050754,,"{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",11/1/2024,MOBILE,5,"We travelled at the end of October, we had some rain but overall the weather was good with lots of sun to enjoy.",[],"What can I say but, ‘Simply Exceptional’, from the moment the gates to the drive open you realise you have arrived somewhere special.

There is a certain serenity that embraces you as you walk down the entrance hall and in to the spacious and perfectly presented lounge and dining area which looks out across your private pool and down to the beach beyond the gardens.

No traffic noise, just nature and the sound of the waves washing across the rocks and on to the beach.

Everything is special here, the location, the villa, the friendly attentive staff dedicated to your every need, the quality and maintenance of everything, the attention to detail, the food, bedrooms and bathrooms are all wonderful.

The villa boasts 7 bedrooms, 4 to the upper floor, 1 to the ground floor and 2 to the garden area, all are very spacious with comfortable beds and ample hanging and storage, all have large en-suite bathrooms with walk in showers and all but the ground floor have a large bath.
The beds are comfortable, all have tv’s with access to Netflix etc. and there is ample hot water, towels and other bathroom essentials.

The happy and smiling staff are always on hand to provide you the ultimate service and the 2 personal chefs create outstanding food to complement the array of cocktails and soft drinks that freely flow.
We were a group of 6 couples visiting for 3 nights and they happily prepared a delicious and off menu BBQ for us on our first evening.

Always important to mention the things that others might see as a negative so, the beach is beautiful but not for swimming, it’s too rough and rocky, that said , if you walk 5 minutes down the beach you’ll find turtle bay where we swam with turtles.
The wine list is ok but is limited, nevertheless, much better than any other we experienced on our 2 week journey across Sri Lanka (if you’ve been here before you will understand that wine is not really the thing in Sri Lanka), so if you’re a wine connoisseur please don’t be disappointed, we all love our wine and made do with a Zin, Pinot Noir, Chardonnay and Sauvignon Blanc.

In summary, if you’re looking for the ultimate chill-out villa in Sri Lanka this is the place, especially if you are a group or family that wants the place to yourselves, you will not get better!

Peter",Simply Exceptional!,2024-11,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r978318200-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,966960129,en,15050754,"{'id': '967288194', 'text': 'Dear David M,\n\nThank you very much for taking the time to leave us a review. We are deeply honoured to receive a 5star. We are very fortunate to be located directly infront of Mihiripenna Beach and our team work very hard to ensure our guests have a memorable stay with us.  We will be sure to pass on your compliments to Chef samantha & our team. We are so glad you enjoyed our extensive menus and glad you took the opportunity to try dishes & Cocktails off the menu as our Chefs love curating meals specially for each guest.\nWe very much hope to be able to welcome you back in the future. \n\nPlease do keep intouch. \n\nKind regards,\nThe Sielen Diva Family', 'lang': 'en', 'publishedDate': '2024-08-28', 'responder': 'Reservations Sielen Diva', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",8/26/2024,MOBILE,5,,[],"We have just spent a fantastic and relaxing 6 days at Sielen Diva. The villa is a modern beach front villa with only 7 guest rooms. We stayed in the Yanai suite which was very spacious and has the biggest bathroom that we have seen in a hotel/villa; and a fantastic view of the beach and sea. It’s so peaceful and relaxing at Sielen Diva we didn’t want to leave.
Unawatuna is only a 5 minute tuk-tuk ride from the villa, Galle is about 25 minutes away. Every morning we woke to the sound of the waves and a fantastic view of the sea through the huge floor to ceiling windows. The food was of an excellent standard, chef Samantha delighted us with both Sri Lankan and western food. Our favourite were the baked crab and also the Sri Lankan lunch. The cocktails were also varied and totally delicious. 
Finally the staff… they were excellent and provided a personal service, all our needs were met and our expectations exceeded. A big thanks to the villa manager and the staff at Sielen Diva!!",Fabulous stay at Sielen Diva a beach front oasis,2024-08,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r966960129-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,960408075,en,15050754,"{'id': '967453484', 'text': 'Dear Flyer424636,\n\nThank you very much for taking the time to leave us a review and for rating us. We are honoured. We pride ourselves on our personalised service and are so happy this was recognized. Our biggest treasure is our staff, they love going the extra mile to make sure that every client will have a memorable stay.\n\nWe very much hope to be able to welcome you back to Sielen Diva in the future. \n\nKind regards, \nThe Sielen Diva Family', 'lang': 'en', 'publishedDate': '2024-08-29', 'responder': 'Reservations Sielen Diva', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",7/20/2024,OTHER,5,,[],Really enjoyed our stay at Sielen Diva. Amazing ocean view from our massive front window. Staff were very friendly and attentive. Samantha is the chef and clearly takes a lot of pride in his work preparing very high standard Sri Lankan and western style food. In fact the food here was amongst the best of any hotel on our trip. Thanks also to George the hotel manager for making us feel so welcome. Keep up the good work Sielen Diva 👍,"Great welcome, fantastic view, fab food!",2024-07,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r960408075-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,959148259,en,15050754,,"{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",7/12/2024,OTHER,5,,[],"Fantastic villa experience. The villa is large and even though you can share with other guests, you still feel quite separate from others. Food was excellent. Breakfasts were beautiful with lots of choices. We ate lunch  and dinner there a few times with both Sri Lankan and Western choices. We stayed in the upstairs rooms that were large with exceptional views of the ocean and beaches. Service was very good and the villa is a short car or Tuk Tuk trip away from beaches and Galle fort. We did a cooking class was really good. We learnt a lot from the very talented chef and ate a beautiful meal afterwards.",Beautiful Villa,2024-07,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r959148259-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,944906543,en,15050754,"{'id': '956386392', 'text': 'Dear Rachel_T, \nThank you very much for taking the time to leave us a review and for awarding us a 5star. We are so happy you took the time to point out all the aspects of your stay that you enjoyed. We will most certainly pass on your compliments to Chef Samantha. Though we receive many requests to dine at the villa from non guests, we maintain Villa Sielen Diva as a residents only Villa to ensure our guests received the personalised service and attention we pride ourselves in providing. \nWe very much hope to be able to welcome you back in the future.\nKind regards,\nThe Sielen Diva Family', 'lang': 'en', 'publishedDate': '2024-06-23', 'responder': 'Reservations Sielen Diva', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",4/2/2024,OTHER,5,"Eat at the Villa in the evenings, food quite incredible. ","[{'name': 'Value', 'value': 5}, {'name': 'Rooms', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 5}, {'name': 'Service', 'value': 5}, {'name': 'Sleep Quality', 'value': 5}]","Heavenly. Beautiful design, amazing view, on the most beautiful little beach. Chef Samantha quite incredible and guest only dining.  Staff are fantastic.  Easy to reach other areas for dining.   Great breakfasts, opportunity to do trips to explore surrounding area. Would go back in a heartbeat.",Wonderful,2024-03,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r944906543-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,944648044,en,15050754,"{'id': '956385957', 'text': ""Dear Rachael S.,\n\nThank you very much for taking the time to leave us a 5star review. We are elated that you have called our villa a 'small haven of luxury'. This is indeed an honour and it was a pleasure serving you during your week stay with us.\nWe are very fortunate to be located directly infront of Mihiripenna Beach, it is close enough to the bars and restaurants but also far enough that our stretch of beach remains relatively private and quiet. \nOur staff work especially hard to ensure guests have a wonderful stay with us and we thank you for noticing this. \nWe very much hope to be able to welcome you back in the future. \nPlease do keep intouch.\n\nKind regards,\nThe Sielen Diva Family"", 'lang': 'en', 'publishedDate': '2024-06-23', 'responder': 'Reservations Sielen Diva', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",3/31/2024,MOBILE,5,,[],"We had a wonderful week staying at Sielen Diva. The hotel is a small quiet paradise in a truly awesome setting. The hotel is very private and peaceful so if you are looking to party this is not the place. Local bars and restaurants are only a short distance away. We stayed in one of the garden suites, which was very spacious, comfortable and cool! Everything was perfect and the staff could not do enough to make our stay perfect. I recommend this place",A small haven of luxury,2024-03,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r944648044-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,942506755,en,15050754,"{'id': '943867049', 'text': 'Dear Janetip\n \nThank you very much for taking the time to write us such a lovely review and especially for pointing out the details of your stay that you enjoyed. We pride ourselves on our personalised service so your compliment on having ""the most personalised service you will receive at any hotel, anywhere"" is one of the highest compliments we could receive and we are indeed elated. \n\nWe very much hope to be able to welcome you back to Sielen Diva one day. Please do keep in touch as we love hearing from our guests.\n', 'lang': 'en', 'publishedDate': '2024-03-26', 'responder': 'Reservations Sielen Diva', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",3/16/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Service', 'value': 5}]","Sielen Diva is in an excellent position, far enough back from the coast road and looking across a pleasant swimming pool and lawn and down to a sandy beach. 
George, the manager, could not have been more helpful and the rest of the staff were charming too.  Breakfasts and cocktails were outstanding.  The fortress at Galle is just a short tuktuk ride away.  The rooms are spacious, modern and with great sea views.",Excellent beach hotel near Galle,2024-02,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r942506755-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,941489305,en,15050754,"{'id': '943868897', 'text': 'Dear Hpat,\n \nThank you very much for taking the time to write such a lovely review and especially for pointing out the details of your stay that you enjoyed. We pride ourselves on our personalised service so your compliment on having ""the most personalised service you will receive at any hotel, anywhere"" is one of the highest compliments we could receive and we are indeed elated. \n\nThe villa was designed to ensure guests can enjoy panoramic views of the Indian Ocean from both the bedrooms and the common areas so we are so glad this was an aspect you enjoyed during your stay with us. We will most certainly pass on your compliments to our entire Villa team. \nWe very much hope to be able to welcome your family back to Sielen Diva one day. Please do keep intouch as we love hearing from our guests.\n', 'lang': 'en', 'publishedDate': '2024-03-26', 'responder': 'Reservations Sielen Diva', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",3/8/2024,OTHER,5,,"[{'name': 'Value', 'value': 4}, {'name': 'Location', 'value': 5}, {'name': 'Service', 'value': 5}]","We stayed for 2nights at Sielen Diva in the beautiful Mora room. Located on the corner of the first floor, it’s a jaw droppingly large room, with floor-to-ceiling windows and an incredible bathroom. 

The view of the water and the sound of the waves from the gigantic windows is magical. 

The a/c was strong and effective. Much needed in Unnawatuna’s heat. 

The bed was large and comfortable. The room is spacious and the size of some apartments. 

The bathroom is probably the best that I’ve stayed at in the world! Light, and spacious. With a powerful shower where water falls from the 11ft ceiling. 

As there are just 7 rooms, the property never feels busy. There are plenty of dining areas and is a fairly private experience. 

Food at this boutique hotel is a highlight. The menu is delightful and food is delicious. Prices are a tad high for Sri Lanka, but not overly so from an international perspective. 

The pool is warm and spacious. And due to few guests, you can have the pool to yourself most of the time. 

There’s a clean private beach on the property. The seas were rough, but was fine for some beach photos. 

The games room is well-equipped with a pool table, football table, darts board, weights, board games, books and more. It’s very hot though and we couldn’t see a fan or a/c. 

Overall we had a great stay, and wished we could stay longer.","Beautiful room, bathroom and property. An excellent stay.",2024-03,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r941489305-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,941390091,en,15050754,"{'id': '956385299', 'text': ""Dear R8798PYolgar, \n\nThank you very much for taking the time to leave us a review. It is especially important for small family businesses such as ourselves and helps put us on the map. We are deeply honoured you have awarded us a 5star and are thrilled you enjoyed the service offered by our team. They work especially hard to ensure our guest's have a wonderful stay with us. Whilst all our rooms offer panoramic views of the Indian Ocean, the Yanai Suite is a favourite amongst our guests for its size. We will be sure to pass on your compliments to the Villa owner who personally did the interior design of the villa along with the design of the custom made furniture. We are fortunate to have talented Chefs who are very particular with the ingredients they use. We only purchase local, fresh ingredients. Seafood is purchased directly from the fishermen and fruits and vegetables from the local markets. Thank you for noticing that our menu pricing is not overpriced and we are so glad you enjoyed every minute of your stay with us. \nWe very much hope to welcome you back to Villa Sielen Diva in the future. \n\nKind regards,\nThe Sielen Diva Family"", 'lang': 'en', 'publishedDate': '2024-06-23', 'responder': 'Reservations Sielen Diva', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",3/8/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Service', 'value': 5}]","Fantastic 5 star villa with exceptional staff. They gave us their maximum attention. We stayed in Yanai Suite. The room was extra spacious and the view breaftaking. We really love furnishing and mistly the paintings. All is well organized and very cozy.

The biggest compliments to the chef Thusara who made us  a fantastic catch of the day in salt crust. We can surely state the best we have ever ate made that way! 

Villa worth the price,the only but is prices which are very high. We were amazed with the prices on coffee,juices, soups and salads. Really not a bit overpriced.

But all in all we enjoyed every minute of our stay.",Fantastic stay,2024-03,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r941390091-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,941379004,en,15050754,"{'id': '943870306', 'text': 'Dear Jessica, \nThank you  for taking the time to leave us a review and for awarding us a 5star. We are most appreciative. \nOur biggest pride is our staff and they always go the extra mile to make our clients happy. Please do keep in touch as we love hearing from past guests. \n\nKind regards,\nThe Sielen Diva Family', 'lang': 'en', 'publishedDate': '2024-03-26', 'responder': 'Reservations Sielen Diva', 'connectionToSubject': 'Guest Services / Front Office'}","{'id': '15050754', 'name': 'Sielen Diva', 'rating': 5, 'numberOfReviews': 195, 'locationString': 'Talpe, Galle District, Southern Province', 'latitude': 5.998871, 'longitude': 80.270584, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g3198032-d15050754-Reviews-Sielen_Diva-Talpe_Galle_District_Southern_Province.html', 'website': 'http://www.sielendiva.com/', 'address': '776/1 Galle-Matara Coastal Rd, Talpe 80615 Sri Lanka', 'addressObj': {'street1': ' 776/1 Galle-Matara Coastal Rd', 'street2': None, 'city': 'Talpe', 'state': None, 'country': 'Sri Lanka', 'postalcode': '80615'}, 'ratingHistogram': {'count1': 2, 'count2': 0, 'count3': 1, 'count4': 6, 'count5': 186}}",3/7/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Service', 'value': 5}]",We stayed 4 nights at the Sielen Diva and can only recommend it!! The staff is very friendly food is superb and the room was very spacious and cleaned each time after we had breakfast! Highly recommended! They also provided yoga classes with a very good instructor and massages as well!,Great place and great staff,2024-03,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g3198032-d15050754-r941379004-Sielen_Diva-Talpe_Galle_District_Southern_Province.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
