helpfulVotes,id,lang,locationId,ownerResponse,placeInfo,publishedDate,publishedPlatform,rating,roomTip,subratings,text,title,travelDate,tripType,url
0,970451148,en,10052141,,"{'id': '10052141', 'name': 'Jkab Beach Resort', 'rating': 3.5, 'numberOfReviews': 211, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.596079, 'longitude': 81.22259, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d10052141-Reviews-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html', 'website': 'http://www.jkabbeachresort.com', 'address': '686/11 North Coast Road Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '686/11 North Coast Road', 'street2': 'Uppuveli', 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 34, 'count2': 20, 'count3': 37, 'count4': 67, 'count5': 53}}",9/19/2024,OTHER,1,Don’t go there when private parties on u won’t be able to sleep with loud music ,"[{'name': 'Value', 'value': 1}, {'name': 'Rooms', 'value': 1}, {'name': 'Location', 'value': 5}, {'name': 'Cleanliness', 'value': 1}, {'name': 'Service', 'value': 1}, {'name': 'Sleep Quality', 'value': 1}]","Worst Hotel experience  ever ,  we book for a family room on 17 th September  , as we enter the room notice the unacceptable facts of the following 
Before we check in we had to pay whole amount 
Ac wasn’t working properly all night  eventhough  complain to the duty manager on front desk didn’t accept it 
No room towel provided 
No tea bags , milk , water enough for 4 adults 
Tv remote couldn’t find , so they have to replace another tv  but all channels were not clear at all 
Also unable to connect front desk to full fill our requirements since telephone line were out of order 
Bathroom wasn’t clean properly 
Pool was close so earlier 8 pm to in house guests and access for late morning 
Private party  with loud music till late night  which was so disturbing to in-house guests 
Pool tiles were broken not up to safety standards 
Very low quality breakfast, nothing was refill after 9.15
Person who make omelet wasn’t wearing proper clothes very unpleasant, when I ask milk for my tea breakfast supervisor said to waiter no breakfast after 9.30 
Most unprofessional 
Breakfast supervisor ever seen 
Not value for money at all , this is our second time & not recommend to everyone… 
Prabhath 
Chef from Ireland",Worst hotel experience ever,2024-09,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g424963-d10052141-r970451148-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html
0,970246581,en,10052141,,"{'id': '10052141', 'name': 'Jkab Beach Resort', 'rating': 3.5, 'numberOfReviews': 211, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.596079, 'longitude': 81.22259, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d10052141-Reviews-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html', 'website': 'http://www.jkabbeachresort.com', 'address': '686/11 North Coast Road Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '686/11 North Coast Road', 'street2': 'Uppuveli', 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 34, 'count2': 20, 'count3': 37, 'count4': 67, 'count5': 53}}",9/18/2024,OTHER,1,Avoid it,"[{'name': 'Value', 'value': 1}, {'name': 'Location', 'value': 2}, {'name': 'Cleanliness', 'value': 1}, {'name': 'Service', 'value': 1}, {'name': 'Sleep Quality', 'value': 1}]","I strongly advise against staying at this hotel. The condition of the room is not consistent with the one presented on the Booking portal. The room is dirty, old and unkept. The equipment is very worn, the shower head leaks onto the electric water heater, there is mold on the walls. We did not receive towels or bath accessories, we had to ask for them. In conclusion, the condition of the rooms is not consistent with the condition offered, at the same time posing a danger to users (dirt, mold). The pool is also destroyed, cracked tiles. Additionally, during 6 of our nights, the facility organized very loud parties until the night hours. Breakfasts are monotonous, of average quality.
I do not recommend, using the services of this facility will ruin your vacation.",The worst hotel I have ever been,2024-09,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g424963-d10052141-r970246581-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html
1,960090931,en,10052141,,"{'id': '10052141', 'name': 'Jkab Beach Resort', 'rating': 3.5, 'numberOfReviews': 211, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.596079, 'longitude': 81.22259, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d10052141-Reviews-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html', 'website': 'http://www.jkabbeachresort.com', 'address': '686/11 North Coast Road Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '686/11 North Coast Road', 'street2': 'Uppuveli', 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 34, 'count2': 20, 'count3': 37, 'count4': 67, 'count5': 53}}",7/18/2024,MOBILE,5,,[],It has a very beautiful and peaceful environment and there is a good staff who provided us with their service very well. The rooms are very clean and we can see a beautiful view of the sea in the evening. The restaurant is also really good. We enjoyed our vacation there.,Impeccable Service and Stunning Views at Jkab beach resort,2024-06,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g424963-d10052141-r960090931-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html
0,959907748,en,10052141,,"{'id': '10052141', 'name': 'Jkab Beach Resort', 'rating': 3.5, 'numberOfReviews': 211, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.596079, 'longitude': 81.22259, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d10052141-Reviews-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html', 'website': 'http://www.jkabbeachresort.com', 'address': '686/11 North Coast Road Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '686/11 North Coast Road', 'street2': 'Uppuveli', 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 34, 'count2': 20, 'count3': 37, 'count4': 67, 'count5': 53}}",7/17/2024,OTHER,2,,[],We stayed two nights in this hotel. The hotel located in a nice location and the staffs are nice but the rooms and washrooms are not cleaned properly. Spider webs in the room. Washroom had old broken faucets and the shower curtain must be older than 5 years and looks like never changed. Washroom floor and side tiles had mold and bad smell came on the second day of our stay. Dinner was not good. Their menu combination is really bad. They need to do a better job in their menu.,Bad experiences,2024-07,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g424963-d10052141-r959907748-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html
0,957447911,en,10052141,,"{'id': '10052141', 'name': 'Jkab Beach Resort', 'rating': 3.5, 'numberOfReviews': 211, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.596079, 'longitude': 81.22259, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d10052141-Reviews-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html', 'website': 'http://www.jkabbeachresort.com', 'address': '686/11 North Coast Road Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '686/11 North Coast Road', 'street2': 'Uppuveli', 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 34, 'count2': 20, 'count3': 37, 'count4': 67, 'count5': 53}}",6/30/2024,OTHER,3,,"[{'name': 'Value', 'value': 2}, {'name': 'Rooms', 'value': 2}, {'name': 'Location', 'value': 2}, {'name': 'Cleanliness', 'value': 2}, {'name': 'Service', 'value': 4}, {'name': 'Sleep Quality', 'value': 3}]","The term “Looks are descriptive “ is just right for this hotel. We looked at the cabana photos and were happy. They looked picture perfect, literally.  We get there and the first thing I observe is that they are NOT beach fronted. We open the door to our cabana and a hit blast hit us! Air conditioning took its time to work. Nothing “deluxe” about it. It’s so compact my husband and I couldn’t pass each other without falling over. The only good thing about the cabana was the bed. It was comfortable. Don’t even want to say anything about the bathroom. I was so glad we did a lot of sight seeing and went to the hotel only for dinner and sleep. 

My friends who opted for rooms told me the rooms were good. I didn’t visit the rooms so cannot say for sure. 

Jimmy and his crew at the restaurant were a different story. Breakfast and dinner were quite good. And the service was fine. Perhaps the only redeeming feature about the hotel. 

Superb view no doubt of the endless sea and we watched two beautiful sunrises, thanks to Mother Nature. 

Will I go there again? Will I recommend it? No to both. Unless and until the owners practice what they preach.",JKAB RESORT TRINCO,2024-06,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g424963-d10052141-r957447911-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html
0,950679945,en,10052141,,"{'id': '10052141', 'name': 'Jkab Beach Resort', 'rating': 3.5, 'numberOfReviews': 211, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.596079, 'longitude': 81.22259, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d10052141-Reviews-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html', 'website': 'http://www.jkabbeachresort.com', 'address': '686/11 North Coast Road Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '686/11 North Coast Road', 'street2': 'Uppuveli', 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 34, 'count2': 20, 'count3': 37, 'count4': 67, 'count5': 53}}",5/13/2024,OTHER,3,,"[{'name': 'Value', 'value': 2}, {'name': 'Rooms', 'value': 1}, {'name': 'Location', 'value': 3}, {'name': 'Cleanliness', 'value': 2}, {'name': 'Service', 'value': 2}, {'name': 'Sleep Quality', 'value': 1}]","My recent stay at Jkab Resort left much to be desired. The room was disappointingly cramped, making it difficult to even store our luggage properly. Additionally, the food was served cold and tasted stale, detracting from the overall experience. Despite the picturesque sea view, the presence of mosquitoes made for a restless night's sleep. While the location was commendable, the lack of spaciousness and quality amenities greatly impacted our stay.""","Disappointing Stay at Jkab Resort, Trincomalee",2024-05,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g424963-d10052141-r950679945-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html
0,942592980,en,10052141,,"{'id': '10052141', 'name': 'Jkab Beach Resort', 'rating': 3.5, 'numberOfReviews': 211, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.596079, 'longitude': 81.22259, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d10052141-Reviews-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html', 'website': 'http://www.jkabbeachresort.com', 'address': '686/11 North Coast Road Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '686/11 North Coast Road', 'street2': 'Uppuveli', 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 34, 'count2': 20, 'count3': 37, 'count4': 67, 'count5': 53}}",3/16/2024,OTHER,1,,"[{'name': 'Value', 'value': 1}, {'name': 'Location', 'value': 1}, {'name': 'Service', 'value': 1}]","I stayed here with my friend for one night in room 138, but the room is dirty , The room does not have a view  of the beach also the staff does not care about the guests(especially front office) so don't waste your money by staying here.……………………..

and don’t ordee food juice because that hotel fresh juice mean sunquick😂",not worth to money,2024-03,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g424963-d10052141-r942592980-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html
0,932701151,en,10052141,,"{'id': '10052141', 'name': 'Jkab Beach Resort', 'rating': 3.5, 'numberOfReviews': 211, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.596079, 'longitude': 81.22259, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d10052141-Reviews-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html', 'website': 'http://www.jkabbeachresort.com', 'address': '686/11 North Coast Road Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '686/11 North Coast Road', 'street2': 'Uppuveli', 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 34, 'count2': 20, 'count3': 37, 'count4': 67, 'count5': 53}}",1/7/2024,OTHER,5,,"[{'name': 'Value', 'value': 5}, {'name': 'Location', 'value': 5}, {'name': 'Service', 'value': 5}]","The best place to relax with friends and families. Large clean rooms with beach view and pool view, delicious food, helpful employees, private beach and pool. 

Good place to have large friends and family events. ",JKAB Beach Resort,2023-12,FAMILY,https://www.tripadvisor.com/ShowUserReviews-g424963-d10052141-r932701151-Jkab_Beach_Resort-Trincomalee_Eastern_Province.html
0,940913010,en,3505692,,"{'id': '3505692', 'name': 'Coconut Beach Lodge', 'rating': 3.5, 'numberOfReviews': 368, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.611691, 'longitude': 81.21871, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d3505692-Reviews-Coconut_Beach_Lodge-Trincomalee_Eastern_Province.html', 'website': 'https://www.facebook.com/ANUSAYANAN25/', 'address': '178/19 Allesgarden, Uppuveli, Trincomalee 31000 Sri Lanka', 'addressObj': {'street1': '178/19 Allesgarden, Uppuveli', 'street2': None, 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': '31000'}, 'ratingHistogram': {'count1': 40, 'count2': 43, 'count3': 44, 'count4': 98, 'count5': 143}}",3/5/2024,OTHER,5,,[],"Great place to watch the sunset with a drink and some freshly caught seafood. Amazing vibe, only serve what’s been caught that day. Oil lanterns and candles and very few people. Great experience and Sanda is a top guy. One of the best dining experiences of our trip to Sri Lanka.",Amazing seafood on the beach.,2024-03,COUPLES,https://www.tripadvisor.com/ShowUserReviews-g424963-d3505692-r940913010-Coconut_Beach_Lodge-Trincomalee_Eastern_Province.html
0,973018514,en,7079606,,"{'id': '7079606', 'name': 'Anantamaa', 'rating': 4, 'numberOfReviews': 393, 'locationString': 'Trincomalee, Eastern Province', 'latitude': 8.615138, 'longitude': 81.21772, 'webUrl': 'https://www.tripadvisor.com/Hotel_Review-g424963-d7079606-Reviews-Anantamaa-Trincomalee_Eastern_Province.html', 'website': 'http://www.anantamaa.com', 'address': 'No 0742, Alles Garden, Trincomalee Sri Lanka', 'addressObj': {'street1': 'No 0742, Alles Garden', 'street2': None, 'city': 'Trincomalee', 'state': None, 'country': 'Sri Lanka', 'postalcode': None}, 'ratingHistogram': {'count1': 16, 'count2': 20, 'count3': 47, 'count4': 127, 'count5': 183}}",10/7/2024,OTHER,1,,"[{'name': 'Value', 'value': 1}, {'name': 'Rooms', 'value': 3}, {'name': 'Location', 'value': 1}, {'name': 'Cleanliness', 'value': 1}, {'name': 'Service', 'value': 3}, {'name': 'Sleep Quality', 'value': 3}]","This is a badly managed hotel, in a very poor location near a beach which is dirty and unsafe. Not recommended . For sea bathing much better to head north to Nilaveli beach or South to Pasikudah. 

This hotel is not on the beach, but one block in -  you have to go down a small path to get to the beach. And the beach there is dirty, and the sea is rough and murky. Nilaveli beach a few miles away is much cleaner and safer. 

The food at the hotel is poor. But worse is that the management allow outsiders to have parties. One afternoon a crowd of about 30 men came with arrack and drank until they were drunk . By 6 pm they were all in the pool with their clothes on. And the noise. So we couldn’t swim at all. Unacceptable.",Avoid this hotel !,2024-10,FRIENDS,https://www.tripadvisor.com/ShowUserReviews-g424963-d7079606-r973018514-Anantamaa-Trincomalee_Eastern_Province.html
